loc_id,row,col,zone,walk_dist_m
L0224,6,24,Z2,54.0
L0225,6,25,Z2,55.5
L0226,6,26,Z2,57.0
L0227,6,27,Z2,58.5
L0228,6,28,Z2,60.0
L0229,6,29,Z2,61.5
L0230,6,30,Z2,63.0
L0231,6,31,Z2,64.5
L0232,6,32,Z2,66.0
L0233,6,33,Z2,67.5
L0234,6,34,Z2,69.0
L0235,6,35,Z2,70.5
L0236,6,36,Z2,72.0
L0237,6,37,Z2,73.5
L0238,6,38,Z2,75.0
L0239,6,39,Z2,76.5
L0240,6,40,Z2,78.0
L0241,7,1,Z2,22.5
L0242,7,2,Z2,24.0
L0243,7,3,Z2,25.5
L0244,7,4,Z2,27.0
L0245,7,5,Z2,28.5
L0246,7,6,Z2,30.0
L0247,7,7,Z2,31.5
L0248,7,8,Z2,33.0
L0249,7,9,Z2,34.5
L0250,7,10,Z2,36.0
L0251,7,11,Z2,37.5
L0252,7,12,Z2,39.0
L0253,7,13,Z2,40.5
L0254,7,14,Z2,42.0
L0255,7,15,Z2,43.5
L0256,7,16,Z2,45.0
L0257,7,17,Z2,46.5
L0258,7,18,Z2,48.0
L0259,7,19,Z2,49.5
L0260,7,20,Z2,51.0
L0261,7,21,Z2,52.5
L0262,7,22,Z2,54.0
L0263,7,23,Z2,55.5
L0264,7,24,Z2,57.0
L0265,7,25,Z2,58.5
L0266,7,26,Z2,60.0
L0267,7,27,Z2,61.5
L0268,7,28,Z2,63.0
L0269,7,29,Z2,64.5
L0270,7,30,Z2,66.0
L0271,7,31,Z2,67.5
L0272,7,32,Z2,69.0
L0273,7,33,Z2,70.5
L0274,7,34,Z2,72.0
L0275,7,35,Z2,73.5
L0276,7,36,Z2,75.0
L0277,7,37,Z2,76.5
L0278,7,38,Z2,78.0
L0279,7,39,Z2,79.5
L0280,7,40,Z2,81.0
L0281,8,1,Z2,25.5
L0282,8,2,Z2,27.0
L0283,8,3,Z2,28.5
L0284,8,4,Z2,30.0
L0285,8,5,Z2,31.5
L0286,8,6,Z2,33.0
L0287,8,7,Z2,34.5
L0288,8,8,Z2,36.0
L0289,8,9,Z2,37.5
L0290,8,10,Z2,39.0
L0291,8,11,Z2,40.5
L0292,8,12,Z2,42.0
L0293,8,13,Z2,43.5
L0294,8,14,Z2,45.0
L0295,8,15,Z2,46.5
L0296,8,16,Z2,48.0
L0297,8,17,Z2,49.5
L0298,8,18,Z2,51.0
L0299,8,19,Z2,52.5
L0300,8,20,Z2,54.0
L0301,8,21,Z2,55.5
L0302,8,22,Z2,57.0
L0303,8,23,Z2,58.5
L0304,8,24,Z2,60.0
L0305,8,25,Z2,61.5
L0306,8,26,Z2,63.0
L0307,8,27,Z2,64.5
L0308,8,28,Z2,66.0
L0309,8,29,Z2,67.5
L0310,8,30,Z2,69.0
L0311,8,31,Z2,70.5
L0312,8,32,Z2,72.0
L0313,8,33,Z2,73.5
L0314,8,34,Z2,75.0
L0315,8,35,Z2,76.5
L0316,8,36,Z2,78.0
L0317,8,37,Z2,79.5
L0318,8,38,Z2,81.0
L0319,8,39,Z2,82.5
L0320,8,40,Z2,84.0
L0321,9,1,Z2,28.5
L0322,9,2,Z2,30.0
L0323,9,3,Z2,31.5
L0324,9,4,Z2,33.0
L0325,9,5,Z2,34.5
L0326,9,6,Z2,36.0
L0327,9,7,Z2,37.5
L0328,9,8,Z2,39.0
L0329,9,9,Z2,40.5
L0330,9,10,Z2,42.0
L0331,9,11,Z2,43.5
L0332,9,12,Z2,45.0
L0333,9,13,Z2,46.5
L0334,9,14,Z2,48.0
L0335,9,15,Z2,49.5
L0336,9,16,Z2,51.0
L0337,9,17,Z2,52.5
L0338,9,18,Z2,54.0
L0339,9,19,Z2,55.5
L0340,9,20,Z2,57.0
L0341,9,21,Z2,58.5
L0342,9,22,Z2,60.0
L0343,9,23,Z2,61.5
L0344,9,24,Z2,63.0
L0345,9,25,Z2,64.5
L0346,9,26,Z2,66.0
L0347,9,27,Z2,67.5
L0348,9,28,Z2,69.0
L0349,9,29,Z2,70.5
L0350,9,30,Z2,72.0
L0351,9,31,Z2,73.5
L0352,9,32,Z2,75.0
L0353,9,33,Z2,76.5
L0354,9,34,Z2,78.0
L0355,9,35,Z2,79.5
L0356,9,36,Z2,81.0
L0357,9,37,Z2,82.5
L0358,9,38,Z2,84.0
L0359,9,39,Z2,85.5
L0360,9,40,Z2,87.0
L0361,10,1,Z2,31.5
L0362,10,2,Z2,33.0
L0363,10,3,Z2,34.5
L0364,10,4,Z2,36.0
L0365,10,5,Z2,37.5
L0366,10,6,Z2,39.0
L0367,10,7,Z2,40.5
L0368,10,8,Z2,42.0
L0369,10,9,Z2,43.5
L0370,10,10,Z2,45.0
L0371,10,11,Z2,46.5
L0372,10,12,Z2,48.0
L0373,10,13,Z2,49.5
L0374,10,14,Z2,51.0
L0375,10,15,Z2,52.5
L0376,10,16,Z2,54.0
L0377,10,17,Z2,55.5
L0378,10,18,Z2,57.0
L0379,10,19,Z2,58.5
L0380,10,20,Z2,60.0
L0381,10,21,Z2,61.5
L0382,10,22,Z2,63.0
L0383,10,23,Z2,64.5
L0384,10,24,Z2,66.0
L0385,10,25,Z2,67.5
L0386,10,26,Z2,69.0
L0387,10,27,Z2,70.5
L0388,10,28,Z2,72.0
L0389,10,29,Z2,73.5
L0390,10,30,Z2,75.0
L0391,10,31,Z2,76.5
L0392,10,32,Z2,78.0
L0393,10,33,Z2,79.5
L0394,10,34,Z2,81.0
L0395,10,35,Z2,82.5
L0396,10,36,Z2,84.0
L0397,10,37,Z2,85.5
L0398,10,38,Z2,87.0
L0399,10,39,Z2,88.5
L0400,10,40,Z2,90.0
L0401,11,1,Z3,34.5
L0402,11,2,Z3,36.0
L0403,11,3,Z3,37.5
L0404,11,4,Z3,39.0
L0405,11,5,Z3,40.5
L0406,11,6,Z3,42.0
L0407,11,7,Z3,43.5
L0408,11,8,Z3,45.0
L0409,11,9,Z3,46.5
L0410,11,10,Z3,48.0
L0411,11,11,Z3,49.5
L0412,11,12,Z3,51.0
L0413,11,13,Z3,52.5
L0414,11,14,Z3,54.0
L0415,11,15,Z3,55.5
L0416,11,16,Z3,57.0
L0417,11,17,Z3,58.5
L0418,11,18,Z3,60.0
L0419,11,19,Z3,61.5
L0420,11,20,Z3,63.0
L0421,11,21,Z3,64.5
L0422,11,22,Z3,66.0
L0423,11,23,Z3,67.5
L0424,11,24,Z3,69.0
L0425,11,25,Z3,70.5
L0426,11,26,Z3,72.0
L0427,11,27,Z3,73.5
L0428,11,28,Z3,75.0
L0429,11,29,Z3,76.5
L0430,11,30,Z3,78.0
L0431,11,31,Z3,79.5
L0432,11,32,Z3,81.0
L0433,11,33,Z3,82.5
L0434,11,34,Z3,84.0
L0435,11,35,Z3,85.5
L0436,11,36,Z3,87.0
L0437,11,37,Z3,88.5
L0438,11,38,Z3,90.0
L0439,11,39,Z3,91.5
L0440,11,40,Z3,93.0
L0441,12,1,Z3,37.5
L0442,12,2,Z3,39.0
L0443,12,3,Z3,40.5
L0444,12,4,Z3,42.0
L0445,12,5,Z3,43.5
L0446,12,6,Z3,45.0
L0447,12,7,Z3,46.5
L0448,12,8,Z3,48.0
L0449,12,9,Z3,49.5
L0450,12,10,Z3,51.0
L0451,12,11,Z3,52.5
L0452,12,12,Z3,54.0
L0453,12,13,Z3,55.5
L0454,12,14,Z3,57.0
L0455,12,15,Z3,58.5
L0456,12,16,Z3,60.0
L0457,12,17,Z3,61.5
L0458,12,18,Z3,63.0
L0459,12,19,Z3,64.5
L0460,12,20,Z3,66.0
L0461,12,21,Z3,67.5
L0462,12,22,Z3,69.0
L0463,12,23,Z3,70.5
L0464,12,24,Z3,72.0
L0465,12,25,Z3,73.5
L0466,12,26,Z3,75.0
L0467,12,27,Z3,76.5
L0468,12,28,Z3,78.0
L0469,12,29,Z3,79.5
L0470,12,30,Z3,81.0
L0471,12,31,Z3,82.5
L0472,12,32,Z3,84.0
L0473,12,33,Z3,85.5
L0474,12,34,Z3,87.0
L0475,12,35,Z3,88.5
L0476,12,36,Z3,90.0
L0477,12,37,Z3,91.5
L0478,12,38,Z3,93.0
L0479,12,39,Z3,94.5
L0480,12,40,Z3,96.0
L0481,13,1,Z3,40.5
L0482,13,2,Z3,42.0
L0483,13,3,Z3,43.5
L0484,13,4,Z3,45.0
L0485,13,5,Z3,46.5
L0486,13,6,Z3,48.0
L0487,13,7,Z3,49.5
L0488,13,8,Z3,51.0
L0489,13,9,Z3,52.5
L0490,13,10,Z3,54.0
L0491,13,11,Z3,55.5
L0492,13,12,Z3,57.0
L0493,13,13,Z3,58.5
L0494,13,14,Z3,60.0
L0495,13,15,Z3,61.5
L0496,13,16,Z3,63.0
L0497,13,17,Z3,64.5
L0498,13,18,Z3,66.0
L0499,13,19,Z3,67.5
L0500,13,20,Z3,69.0
L0501,13,21,Z3,70.5
L0502,13,22,Z3,72.0
L0503,13,23,Z3,73.5
L0504,13,24,Z3,75.0
L0505,13,25,Z3,76.5
L0506,13,26,Z3,78.0
L0507,13,27,Z3,79.5
L0508,13,28,Z3,81.0
L0509,13,29,Z3,82.5
L0510,13,30,Z3,84.0
L0511,13,31,Z3,85.5
L0512,13,32,Z3,87.0
L0513,13,33,Z3,88.5
L0514,13,34,Z3,90.0
L0515,13,35,Z3,91.5
L0516,13,36,Z3,93.0
L0517,13,37,Z3,94.5
L0518,13,38,Z3,96.0
L0519,13,39,Z3,97.5
L0520,13,40,Z3,99.0
L0521,14,1,Z3,43.5
L0522,14,2,Z3,45.0
L0523,14,3,Z3,46.5
L0524,14,4,Z3,48.0
L0525,14,5,Z3,49.5
L0526,14,6,Z3,51.0
L0527,14,7,Z3,52.5
L0528,14,8,Z3,54.0
L0529,14,9,Z3,55.5
L0530,14,10,Z3,57.0
L0531,14,11,Z3,58.5
L0532,14,12,Z3,60.0
L0533,14,13,Z3,61.5
L0534,14,14,Z3,63.0
L0535,14,15,Z3,64.5
L0536,14,16,Z3,66.0
L0537,14,17,Z3,67.5
L0538,14,18,Z3,69.0
L0539,14,19,Z3,70.5
L0540,14,20,Z3,72.0
L0541,14,21,Z3,73.5
L0542,14,22,Z3,75.0
L0543,14,23,Z3,76.5
L0544,14,24,Z3,78.0
L0545,14,25,Z3,79.5
L0546,14,26,Z3,81.0
L0547,14,27,Z3,82.5
L0548,14,28,Z3,84.0
L0549,14,29,Z3,85.5
L0550,14,30,Z3,87.0
L0551,14,31,Z3,88.5
L0552,14,32,Z3,90.0
L0553,14,33,Z3,91.5
L0554,14,34,Z3,93.0
L0555,14,35,Z3,94.5
L0556,14,36,Z3,96.0
L0557,14,37,Z3,97.5
L0558,14,38,Z3,99.0
L0559,14,39,Z3,100.5
L0560,14,40,Z3,102.0
L0561,15,1,Z3,46.5
L0562,15,2,Z3,48.0
L0563,15,3,Z3,49.5
L0564,15,4,Z3,51.0
L0565,15,5,Z3,52.5
L0566,15,6,Z3,54.0
L0567,15,7,Z3,55.5
L0568,15,8,Z3,57.0
L0569,15,9,Z3,58.5
L0570,15,10,Z3,60.0
L0571,15,11,Z3,61.5
L0572,15,12,Z3,63.0
L0573,15,13,Z3,64.5
L0574,15,14,Z3,66.0
L0575,15,15,Z3,67.5
L0576,15,16,Z3,69.0
L0577,15,17,Z3,70.5
L0578,15,18,Z3,72.0
L0579,15,19,Z3,73.5
L0580,15,20,Z3,75.0
L0581,15,21,Z3,76.5
L0582,15,22,Z3,78.0
L0583,15,23,Z3,79.5
L0584,15,24,Z3,81.0
L0585,15,25,Z3,82.5
L0586,15,26,Z3,84.0
L0587,15,27,Z3,85.5
L0588,15,28,Z3,87.0
L0589,15,29,Z3,88.5
L0590,15,30,Z3,90.0
L0591,15,31,Z3,91.5
L0592,15,32,Z3,93.0
L0593,15,33,Z3,94.5
L0594,15,34,Z3,96.0
L0595,15,35,Z3,97.5
L0596,15,36,Z3,99.0
L0597,15,37,Z3,100.5
L0598,15,38,Z3,102.0
L0599,15,39,Z3,103.5
L0600,15,40,Z3,105.0
L0601,16,1,Z4,49.5
L0602,16,2,Z4,51.0
L0603,16,3,Z4,52.5
L0604,16,4,Z4,54.0
L0605,16,5,Z4,55.5
L0606,16,6,Z4,57.0
L0607,16,7,Z4,58.5
L0608,16,8,Z4,60.0
L0609,16,9,Z4,61.5
L0610,16,10,Z4,63.0
L0611,16,11,Z4,64.5
L0612,16,12,Z4,66.0
L0613,16,13,Z4,67.5
L0614,16,14,Z4,69.0
L0615,16,15,Z4,70.5
L0616,16,16,Z4,72.0
L0617,16,17,Z4,73.5
L0618,16,18,Z4,75.0
L0619,16,19,Z4,76.5
L0620,16,20,Z4,78.0
L0621,16,21,Z4,79.5
L0622,16,22,Z4,81.0
L0623,16,23,Z4,82.5
L0624,16,24,Z4,84.0
L0625,16,25,Z4,85.5
L0626,16,26,Z4,87.0
L0627,16,27,Z4,88.5
L0628,16,28,Z4,90.0
L0629,16,29,Z4,91.5
L0630,16,30,Z4,93.0
L0631,16,31,Z4,94.5
L0632,16,32,Z4,96.0
L0633,16,33,Z4,97.5
L0634,16,34,Z4,99.0
L0635,16,35,Z4,100.5
L0636,16,36,Z4,102.0
L0637,16,37,Z4,103.5
L0638,16,38,Z4,105.0
L0639,16,39,Z4,106.5
L0640,16,40,Z4,108.0
L0641,17,1,Z4,52.5
L0642,17,2,Z4,54.0
L0643,17,3,Z4,55.5
L0644,17,4,Z4,57.0
L0645,17,5,Z4,58.5
L0646,17,6,Z4,60.0
L0647,17,7,Z4,61.5
L0648,17,8,Z4,63.0
L0649,17,9,Z4,64.5
L0650,17,10,Z4,66.0
L0651,17,11,Z4,67.5
L0652,17,12,Z4,69.0
L0653,17,13,Z4,70.5
L0654,17,14,Z4,72.0
L0655,17,15,Z4,73.5
L0656,17,16,Z4,75.0
L0657,17,17,Z4,76.5
L0658,17,18,Z4,78.0
L0659,17,19,Z4,79.5
L0660,17,20,Z4,81.0
L0661,17,21,Z4,82.5
L0662,17,22,Z4,84.0
L0663,17,23,Z4,85.5
L0664,17,24,Z4,87.0
L0665,17,25,Z4,88.5
L0666,17,26,Z4,90.0
L0667,17,27,Z4,91.5
L0668,17,28,Z4,93.0
L0669,17,29,Z4,94.5
L0670,17,30,Z4,96.0
L0671,17,31,Z4,97.5
L0672,17,32,Z4,99.0
L0673,17,33,Z4,100.5
L0674,17,34,Z4,102.0
L0675,17,35,Z4,103.5
L0676,17,36,Z4,105.0
L0677,17,37,Z4,106.5
L0678,17,38,Z4,108.0
L0679,17,39,Z4,109.5
L0680,17,40,Z4,111.0
L0681,18,1,Z4,55.5
L0682,18,2,Z4,57.0
L0683,18,3,Z4,58.5
L0684,18,4,Z4,60.0
L0685,18,5,Z4,61.5
L0686,18,6,Z4,63.0
L0687,18,7,Z4,64.5
L0688,18,8,Z4,66.0
L0689,18,9,Z4,67.5
L0690,18,10,Z4,69.0
L0691,18,11,Z4,70.5
L0692,18,12,Z4,72.0
L0693,18,13,Z4,73.5
L0694,18,14,Z4,75.0
L0695,18,15,Z4,76.5
L0696,18,16,Z4,78.0
L0697,18,17,Z4,79.5
L0698,18,18,Z4,81.0
L0699,18,19,Z4,82.5
L0700,18,20,Z4,84.0
L0701,18,21,Z4,85.5
L0702,18,22,Z4,87.0
L0703,18,23,Z4,88.5
L0704,18,24,Z4,90.0
L0705,18,25,Z4,91.5
L0706,18,26,Z4,93.0
L0707,18,27,Z4,94.5
L0708,18,28,Z4,96.0
L0709,18,29,Z4,97.5
L0710,18,30,Z4,99.0
L0711,18,31,Z4,100.5
L0712,18,32,Z4,102.0
L0713,18,33,Z4,103.5
L0714,18,34,Z4,105.0
L0715,18,35,Z4,106.5
L0716,18,36,Z4,108.0
L0717,18,37,Z4,109.5
L0718,18,38,Z4,111.0
L0719,18,39,Z4,112.5
L0720,18,40,Z4,114.0
L0721,19,1,Z4,58.5
L0722,19,2,Z4,60.0
L0723,19,3,Z4,61.5
L0724,19,4,Z4,63.0
L0725,19,5,Z4,64.5
L0726,19,6,Z4,66.0
L0727,19,7,Z4,67.5
L0728,19,8,Z4,69.0
L0729,19,9,Z4,70.5
L0730,19,10,Z4,72.0
L0731,19,11,Z4,73.5
L0732,19,12,Z4,75.0
L0733,19,13,Z4,76.5
L0734,19,14,Z4,78.0
L0735,19,15,Z4,79.5
L0736,19,16,Z4,81.0
L0737,19,17,Z4,82.5
L0738,19,18,Z4,84.0
L0739,19,19,Z4,85.5
L0740,19,20,Z4,87.0
L0741,19,21,Z4,88.5
L0742,19,22,Z4,90.0
L0743,19,23,Z4,91.5
L0744,19,24,Z4,93.0
L0745,19,25,Z4,94.5
L0746,19,26,Z4,96.0
L0747,19,27,Z4,97.5
L0748,19,28,Z4,99.0
L0749,19,29,Z4,100.5
L0750,19,30,Z4,102.0
L0751,19,31,Z4,103.5
L0752,19,32,Z4,105.0
L0753,19,33,Z4,106.5
L0754,19,34,Z4,108.0
L0755,19,35,Z4,109.5
L0756,19,36,Z4,111.0
L0757,19,37,Z4,112.5
L0758,19,38,Z4,114.0
L0759,19,39,Z4,115.5
L0760,19,40,Z4,117.0
L0761,20,1,Z4,61.5
L0762,20,2,Z4,63.0
L0763,20,3,Z4,64.5
L0764,20,4,Z4,66.0
L0765,20,5,Z4,67.5
L0766,20,6,Z4,69.0
L0767,20,7,Z4,70.5
L0768,20,8,Z4,72.0
L0769,20,9,Z4,73.5
L0770,20,10,Z4,75.0
L0771,20,11,Z4,76.5
L0772,20,12,Z4,78.0
L0773,20,13,Z4,79.5
L0774,20,14,Z4,81.0
L0775,20,15,Z4,82.5
L0776,20,16,Z4,84.0
L0777,20,17,Z4,85.5
L0778,20,18,Z4,87.0
L0779,20,19,Z4,88.5
L0780,20,20,Z4,90.0
L0781,20,21,Z4,91.5
L0782,20,22,Z4,93.0
L0783,20,23,Z4,94.5
L0784,20,24,Z4,96.0
L0785,20,25,Z4,97.5
L0786,20,26,Z4,99.0
L0787,20,27,Z4,100.5
L0788,20,28,Z4,102.0
L0789,20,29,Z4,103.5
L0790,20,30,Z4,105.0
L0791,20,31,Z4,106.5
L0792,20,32,Z4,108.0
L0793,20,33,Z4,109.5
L0794,20,34,Z4,111.0
L0795,20,35,Z4,112.5
L0796,20,36,Z4,114.0
L0797,20,37,Z4,115.5
L0798,20,38,Z4,117.0
L0799,20,39,Z4,118.5
L0800,20,40,Z4,120.0
