sku_id,loc_id
SKU0274,L0557
SKU0275,L0049
SKU0276,L0034
SKU0277,L0092
SKU0278,L0068
SKU0279,L0775
SKU0280,L0772
SKU0281,L0099
SKU0282,L0734
SKU0283,L0698
SKU0284,L0518
SKU0285,L0071
SKU0286,L0501
SKU0287,L0479
SKU0288,L0197
SKU0289,L0083
SKU0290,L0327
SKU0291,L0366
SKU0292,L0221
SKU0293,L0541
SKU0294,L0504
SKU0295,L0389
SKU0296,L0446
SKU0297,L0481
SKU0298,L0236
SKU0299,L0204
SKU0300,L0401
SKU0301,L0748
SKU0302,L0150
SKU0303,L0277
SKU0304,L0339
SKU0305,L0142
SKU0306,L0398
SKU0307,L0257
SKU0308,L0278
SKU0309,L0211
SKU0310,L0127
SKU0311,L0649
SKU0312,L0661
SKU0313,L0030
SKU0314,L0570
SKU0315,L0020
SKU0316,L0590
SKU0317,L0677
SKU0318,L0502
SKU0319,L0461
SKU0320,L0485
SKU0321,L0452
SKU0322,L0489
SKU0323,L0094
SKU0324,L0098
SKU0325,L0364
SKU0326,L0700
SKU0327,L0562
SKU0328,L0623
SKU0329,L0537
SKU0330,L0414
SKU0331,L0369
SKU0332,L0759
SKU0333,L0063
SKU0334,L0074
SKU0335,L0386
SKU0336,L0185
SKU0337,L0589
SKU0338,L0625
SKU0339,L0383
SKU0340,L0604
SKU0341,L0162
SKU0342,L0727
SKU0343,L0267
SKU0344,L0047
SKU0345,L0379
SKU0346,L0619
SKU0347,L0328
SKU0348,L0439
SKU0349,L0053
SKU0350,L0593
SKU0351,L0549
SKU0352,L0061
SKU0353,L0361
SKU0354,L0476
SKU0355,L0357
SKU0356,L0450
SKU0357,L0743
SKU0358,L0004
SKU0359,L0217
SKU0360,L0768
SKU0361,L0207
SKU0362,L0134
SKU0363,L0614
SKU0364,L0691
SKU0365,L0390
SKU0366,L0064
SKU0367,L0340
SKU0368,L0583
SKU0369,L0726
SKU0370,L0198
SKU0371,L0559
SKU0372,L0120
SKU0373,L0427
SKU0374,L0016
SKU0375,L0253
SKU0376,L0271
SKU0377,L0387
SKU0378,L0209
SKU0379,L0782
SKU0380,L0195
SKU0381,L0418
SKU0382,L0441
SKU0383,L0747
SKU0384,L0381
SKU0385,L0597
SKU0386,L0168
SKU0387,L0609
SKU0388,L0708
SKU0389,L0477
SKU0390,L0651
SKU0391,L0237
SKU0392,L0308
SKU0393,L0139
SKU0394,L0545
SKU0395,L0117
SKU0396,L0189
SKU0397,L0656
SKU0398,L0595
SKU0399,L0013
SKU0400,L0210
SKU0401,L0285
SKU0402,L0522
SKU0403,L0128
SKU0404,L0712
SKU0405,L0563
SKU0406,L0692
SKU0407,L0758
SKU0408,L0190
SKU0409,L0705
SKU0410,L0181
SKU0411,L0122
SKU0412,L0725
SKU0413,L0106
SKU0414,L0766
SKU0415,L0652
SKU0416,L0111
SKU0417,L0550
SKU0418,L0771
SKU0419,L0627
SKU0420,L0332
SKU0421,L0791
SKU0422,L0556
SKU0423,L0731
SKU0424,L0205
SKU0425,L0219
SKU0426,L0626
SKU0427,L0434
SKU0428,L0227
SKU0429,L0755
SKU0430,L0685
SKU0431,L0769
SKU0432,L0628
SKU0433,L0045
SKU0434,L0382
SKU0435,L0186
SKU0436,L0462
SKU0437,L0115
SKU0438,L0719
SKU0439,L0305
SKU0440,L0697
SKU0441,L0633
SKU0442,L0644
SKU0443,L0302
SKU0444,L0155
SKU0445,L0689
SKU0446,L0402
SKU0447,L0584
SKU0448,L0564
SKU0449,L0283
SKU0450,L0643
SKU0451,L0706
SKU0452,L0351
SKU0453,L0270
SKU0454,L0445
SKU0455,L0639
SKU0456,L0517
SKU0457,L0449
SKU0458,L0003
SKU0459,L0716
SKU0460,L0463
SKU0461,L0076
SKU0462,L0612
SKU0463,L0561
SKU0464,L0132
SKU0465,L0255
SKU0466,L0607
SKU0467,L0532
SKU0468,L0436
SKU0469,L0296
SKU0470,L0256
SKU0471,L0320
SKU0472,L0392
SKU0473,L0234
SKU0474,L0431
SKU0475,L0367
SKU0476,L0043
SKU0477,L0321
SKU0478,L0299
SKU0479,L0268
SKU0480,L0789
SKU0481,L0196
SKU0482,L0684
SKU0483,L0551
SKU0484,L0090
SKU0485,L0341
SKU0486,L0046
SKU0487,L0658
SKU0488,L0191
SKU0489,L0729
SKU0490,L0109
SKU0491,L0252
SKU0492,L0408
SKU0493,L0087
SKU0494,L0347
SKU0495,L0794
SKU0496,L0050
SKU0497,L0362
SKU0498,L0097
SKU0499,L0212
SKU0500,L0038
