sku_id,category,unit_price,weight_kg,volume_m3,abc_initial_label
SKU0089,P08,15.03,1.42,0.0063,A
SKU0090,P09,68.43,5.0,0.0237,C
SKU0091,P05,43.9,5.05,0.0201,B
SKU0092,P09,263.12,2.36,0.0131,A
SKU0093,P09,52.2,4.76,0.0288,B
SKU0094,P04,227.84,2.56,0.0087,C
SKU0095,P09,24.81,1.21,0.0065,B
SKU0096,P03,95.98,3.75,0.0192,C
SKU0097,P03,77.47,2.21,0.0099,C
SKU0098,P07,29.94,2.0,0.0063,A
SKU0099,P07,69.15,7.53,0.042,C
SKU0100,P02,158.28,0.22,0.0014,B
SKU0101,P09,46.31,0.56,0.003,A
SKU0102,P02,15.5,0.69,0.0042,A
SKU0103,P09,59.16,1.44,0.0091,C
SKU0104,P01,29.15,1.59,0.0061,C
SKU0105,P08,45.63,0.52,0.0026,C
SKU0106,P08,56.21,0.82,0.0035,A
SKU0107,P08,15.33,0.92,0.0058,C
SKU0108,P07,16.47,18.26,0.0507,A
SKU0109,P05,88.23,10.12,0.041,C
SKU0110,P08,39.49,1.38,0.0081,B
SKU0111,P03,7.71,1.44,0.0051,A
SKU0112,P08,112.42,0.71,0.0039,B
SKU0113,P06,74.61,0.36,0.0014,C
SKU0114,P05,33.89,1.8,0.0114,B
SKU0115,P06,20.92,0.81,0.0048,B
SKU0116,P06,117.1,1.85,0.0067,A
SKU0117,P01,79.35,0.47,0.0026,C
SKU0118,P02,403.6,1.01,0.0038,C
SKU0119,P03,83.97,2.29,0.0111,A
SKU0120,P02,81.82,2.78,0.014,B
SKU0121,P05,52.5,2.91,0.0166,A
SKU0122,P07,115.33,0.61,0.0015,A
SKU0123,P07,98.93,4.32,0.0142,A
SKU0124,P05,163.32,0.97,0.0051,C
SKU0125,P09,39.54,3.54,0.0165,B
SKU0126,P06,42.35,1.98,0.0087,B
SKU0127,P01,40.9,0.58,0.0015,B
SKU0128,P08,112.95,1.5,0.0057,B
SKU0129,P06,198.95,2.78,0.0163,A
SKU0130,P07,41.57,3.47,0.0088,B
SKU0131,P06,42.71,1.76,0.007,C
SKU0132,P06,77.14,7.94,0.0491,B
SKU0133,P01,49.29,4.95,0.0129,B
SKU0134,P06,128.51,1.59,0.0086,C
SKU0135,P08,9.9,3.93,0.0135,C
SKU0136,P04,30.97,11.4,0.0669,B
SKU0137,P07,32.09,11.68,0.0629,C
SKU0138,P01,9.38,0.66,0.0039,C
SKU0139,P04,27.76,0.87,0.0028,A
SKU0140,P05,28.85,7.61,0.0344,A
SKU0141,P10,51.08,0.77,0.0042,B
SKU0142,P03,146.16,0.61,0.0021,A
SKU0143,P03,49.32,1.29,0.0043,A
SKU0144,P05,26.3,2.92,0.0073,A
SKU0145,P10,57.33,1.82,0.0113,A
SKU0146,P09,138.89,1.11,0.0058,A
SKU0147,P01,27.48,1.09,0.0054,A
SKU0148,P03,28.96,1.05,0.0056,B
SKU0149,P09,93.8,0.91,0.0041,B
SKU0150,P01,50.26,15.59,0.0671,C
SKU0151,P09,100.72,2.61,0.011,C
SKU0152,P03,59.35,4.44,0.022,C
SKU0153,P10,105.18,1.29,0.0041,A
SKU0154,P03,26.21,1.69,0.0101,B
SKU0155,P05,59.42,1.05,0.0059,B
SKU0156,P07,50.69,0.18,0.001,B
SKU0157,P02,22.68,0.58,0.0027,B
SKU0158,P06,17.18,0.39,0.0012,C
SKU0159,P06,103.85,0.26,0.0016,A
SKU0160,P08,45.31,0.68,0.0041,C
SKU0161,P10,26.48,6.59,0.0401,B
SKU0162,P07,55.56,1.92,0.0072,A
SKU0163,P05,147.93,6.39,0.0197,A
SKU0164,P05,9.68,2.9,0.0094,C
SKU0165,P05,18.12,4.04,0.0112,C
SKU0166,P09,28.68,0.89,0.0026,B
SKU0167,P04,193.12,3.2,0.0086,B
SKU0168,P02,75.22,3.85,0.0245,A
SKU0169,P04,110.85,1.19,0.0032,C
SKU0170,P01,24.1,3.31,0.0097,B
SKU0171,P02,24.5,3.33,0.019,B
SKU0172,P01,85.85,1.22,0.0058,C
SKU0173,P08,62.86,0.73,0.004,B
SKU0174,P08,93.07,0.69,0.0034,C
SKU0175,P07,51.64,2.16,0.0128,C
SKU0176,P05,74.95,2.68,0.0133,B
SKU0177,P08,68.09,0.98,0.0044,C
SKU0178,P02,111.78,2.05,0.0108,B
SKU0179,P10,114.43,3.34,0.014,B
SKU0180,P06,16.42,3.49,0.0132,B
SKU0181,P10,9.94,8.08,0.0345,B
SKU0182,P02,133.72,6.31,0.0194,C
SKU0183,P05,155.17,0.81,0.0045,C
SKU0184,P07,26.52,9.1,0.0313,B
SKU0185,P05,13.55,1.24,0.0037,B
SKU0186,P05,64.95,5.12,0.0173,B
SKU0187,P02,126.34,2.13,0.0123,C
SKU0188,P04,252.75,1.38,0.0051,C
SKU0189,P03,90.68,0.39,0.002,C
SKU0190,P04,44.57,1.71,0.01,B
SKU0191,P07,29.37,0.49,0.0013,A
SKU0192,P07,60.55,4.78,0.0261,A
SKU0193,P07,47.23,7.83,0.0284,B
SKU0194,P04,26.64,0.98,0.0032,B
SKU0195,P10,309.0,2.62,0.0135,C
SKU0196,P01,250.25,1.04,0.0063,B
SKU0197,P04,148.89,1.14,0.0041,A
SKU0198,P02,28.72,4.02,0.0188,A
SKU0199,P04,118.91,1.93,0.0069,A
SKU0200,P10,100.09,9.57,0.0442,C
SKU0201,P04,85.49,1.3,0.0064,A
SKU0202,P10,163.05,4.92,0.0238,B
SKU0203,P05,99.75,2.18,0.0107,A
SKU0204,P07,108.46,4.09,0.012,A
SKU0205,P05,99.87,1.34,0.0069,A
SKU0206,P03,78.81,1.91,0.0097,A
SKU0207,P08,14.4,1.8,0.0092,B
SKU0208,P10,64.15,0.94,0.0025,B
SKU0209,P03,38.45,3.63,0.0152,B
SKU0210,P08,21.55,3.59,0.0145,B
SKU0211,P03,230.4,3.41,0.0094,C
SKU0212,P08,239.26,7.98,0.0262,C
SKU0213,P08,177.99,7.37,0.0307,B
SKU0214,P05,73.59,1.43,0.0077,A
SKU0215,P08,176.77,2.8,0.0094,B
SKU0216,P03,60.58,1.14,0.0065,B
SKU0217,P01,70.57,2.04,0.0093,B
SKU0218,P01,25.02,1.17,0.0064,A
SKU0219,P05,82.43,8.6,0.0369,B
SKU0220,P10,62.97,2.77,0.0122,C
SKU0221,P02,21.16,1.64,0.008,B
SKU0222,P05,57.59,5.86,0.0358,A
SKU0223,P08,56.29,0.28,0.0012,B
SKU0224,P03,252.75,0.33,0.0015,B
SKU0225,P08,122.7,4.09,0.0197,C
SKU0226,P04,60.55,2.11,0.0113,C
SKU0227,P09,73.21,2.51,0.0067,A
SKU0228,P06,62.16,0.61,0.0027,B
SKU0229,P06,51.01,1.96,0.0085,B
SKU0230,P02,25.24,12.14,0.0739,A
SKU0231,P05,53.17,4.2,0.0184,B
SKU0232,P09,33.03,2.33,0.01,A
SKU0233,P01,22.07,1.35,0.0084,B
SKU0234,P08,90.32,1.4,0.0059,B
SKU0235,P05,82.05,0.29,0.001,B
SKU0236,P08,14.37,2.52,0.0082,C
SKU0237,P07,54.39,4.28,0.0119,C
SKU0238,P05,133.07,0.48,0.0012,B
SKU0239,P04,140.01,1.1,0.0045,B
SKU0240,P07,136.32,0.71,0.0039,C
SKU0241,P02,61.9,0.84,0.0045,B
SKU0242,P06,30.52,2.1,0.0053,B
SKU0243,P01,25.21,0.31,0.0015,B
SKU0244,P07,79.05,3.48,0.0105,C
SKU0245,P07,81.27,3.94,0.0243,A
SKU0246,P01,168.04,1.6,0.0049,B
SKU0247,P08,144.65,0.21,0.001,C
SKU0248,P05,53.98,0.82,0.003,C
SKU0249,P08,22.18,6.07,0.0301,A
SKU0250,P01,46.48,0.16,0.001,B
SKU0251,P02,71.39,1.46,0.0079,B
SKU0252,P05,51.04,0.69,0.0023,B
SKU0253,P02,37.79,4.13,0.0249,B
SKU0254,P04,73.45,1.09,0.0048,C
SKU0255,P07,40.09,2.88,0.0156,C
SKU0256,P02,36.3,3.33,0.0193,C
SKU0257,P07,76.98,10.44,0.0668,A
SKU0258,P02,43.5,1.67,0.0055,C
SKU0259,P02,72.94,2.81,0.01,A
SKU0260,P06,74.66,0.53,0.0018,B
SKU0261,P08,24.11,5.84,0.0202,A
SKU0262,P02,40.83,1.01,0.0048,C
SKU0263,P03,189.53,1.21,0.0077,A
SKU0264,P10,23.68,1.96,0.0125,A
SKU0265,P10,11.03,0.49,0.0022,C
SKU0266,P06,13.53,2.46,0.0122,C
SKU0267,P05,61.41,4.78,0.0279,B
SKU0268,P04,61.5,2.6,0.0159,C
SKU0269,P07,54.61,0.48,0.0015,B
SKU0270,P06,158.49,1.79,0.0081,A
SKU0271,P03,7.07,3.9,0.0224,C
SKU0272,P01,82.36,0.37,0.0013,C
SKU0273,P02,209.24,0.76,0.0032,B
SKU0274,P10,24.34,4.4,0.0279,A
SKU0275,P05,44.28,2.55,0.0162,C
SKU0276,P05,32.85,2.9,0.0175,B
SKU0277,P05,29.34,10.66,0.0596,C
SKU0278,P08,46.22,3.05,0.0106,C
SKU0279,P01,187.98,3.62,0.0133,A
SKU0280,P01,260.93,22.94,0.1053,A
SKU0281,P03,45.86,1.65,0.0077,C
SKU0282,P05,275.45,0.98,0.0043,A
SKU0283,P07,61.73,2.94,0.0145,A
SKU0284,P05,244.03,2.97,0.012,A
SKU0285,P05,55.68,1.24,0.0067,B
SKU0286,P10,66.63,0.79,0.003,B
SKU0287,P02,80.38,15.99,0.0595,A
SKU0288,P06,763.13,2.68,0.0078,B
SKU0289,P06,118.55,1.03,0.0032,C
SKU0290,P05,34.07,4.56,0.0265,C
SKU0291,P09,130.26,1.81,0.0076,C
SKU0292,P03,44.92,1.59,0.0053,C
SKU0293,P10,40.55,3.32,0.0181,B
SKU0294,P04,124.12,0.63,0.0029,B
SKU0295,P06,61.51,2.75,0.0068,B
SKU0296,P06,74.98,11.19,0.041,C
SKU0297,P09,60.68,3.04,0.0094,C
SKU0298,P05,78.54,1.43,0.0072,B
SKU0299,P03,84.29,1.27,0.0044,C
SKU0300,P01,12.74,1.38,0.0037,C
SKU0301,P04,102.27,1.59,0.0042,A
SKU0302,P09,27.35,1.42,0.0067,B
SKU0303,P01,18.93,4.56,0.0113,B
SKU0304,P09,57.26,0.42,0.0024,B
SKU0305,P06,64.17,4.34,0.0131,C
SKU0306,P02,34.45,1.42,0.0069,A
SKU0307,P04,116.65,2.81,0.0117,C
SKU0308,P06,20.5,0.73,0.003,A
SKU0309,P04,43.33,6.61,0.0178,C
SKU0310,P02,37.58,6.14,0.0345,C
SKU0311,P07,57.8,4.74,0.0283,B
SKU0312,P07,75.0,0.51,0.0012,A
SKU0313,P02,26.79,4.22,0.0131,C
SKU0314,P03,107.1,2.88,0.0173,B
SKU0315,P03,63.1,0.47,0.0022,C
SKU0316,P07,13.21,1.96,0.0059,A
SKU0317,P08,12.52,2.78,0.0089,A
SKU0318,P08,59.41,3.3,0.0166,B
SKU0319,P10,50.28,2.35,0.0125,B
SKU0320,P08,55.24,2.6,0.0125,C
SKU0321,P04,58.67,7.53,0.0468,B
SKU0322,P02,71.87,6.03,0.0264,B
SKU0323,P07,128.06,0.15,0.001,C
SKU0324,P10,24.67,1.5,0.0065,C
SKU0325,P10,23.49,1.72,0.0066,C
SKU0326,P03,25.02,0.41,0.0014,A
SKU0327,P03,75.6,2.18,0.0056,C
SKU0328,P01,162.44,6.15,0.0234,A
SKU0329,P02,42.49,0.75,0.0039,B
SKU0330,P06,8.11,2.71,0.0067,B
SKU0331,P06,15.35,0.88,0.0037,C
SKU0332,P04,30.81,1.09,0.0054,A
SKU0333,P04,38.4,7.56,0.0366,C
SKU0334,P09,43.28,1.23,0.0068,B
SKU0335,P05,61.88,3.03,0.0171,B
SKU0336,P09,46.76,0.37,0.0019,B
SKU0337,P10,138.91,10.69,0.0301,A
SKU0338,P04,34.94,3.44,0.0148,A
SKU0339,P03,30.1,1.7,0.0082,B
SKU0340,P10,88.01,3.36,0.0114,B
SKU0341,P07,17.56,0.56,0.0014,C
SKU0342,P03,81.95,5.8,0.0191,B
SKU0343,P07,65.13,1.49,0.0063,B
SKU0344,P06,53.32,1.66,0.0067,C
SKU0345,P10,213.78,1.28,0.004,B
SKU0346,P03,36.47,1.19,0.0068,B
SKU0347,P10,311.87,3.74,0.0228,C
SKU0348,P10,50.1,2.52,0.0081,A
SKU0349,P02,21.6,3.6,0.022,C
SKU0350,P02,63.45,1.98,0.0049,A
SKU0351,P06,25.36,3.17,0.0193,A
SKU0352,P01,32.88,1.37,0.0085,C
SKU0353,P03,82.43,14.88,0.0364,C
SKU0354,P05,93.58,0.49,0.0027,A
SKU0355,P10,36.47,6.22,0.0391,A
SKU0356,P10,132.19,6.85,0.0413,B
SKU0357,P02,151.46,0.93,0.0058,A
SKU0358,P09,189.31,14.87,0.0684,C
SKU0359,P01,91.64,4.9,0.0133,C
SKU0360,P08,178.59,4.79,0.0278,B
SKU0361,P09,13.33,2.05,0.01,C
SKU0362,P09,46.53,1.64,0.008,C
SKU0363,P03,29.99,1.66,0.0068,B
SKU0364,P09,66.0,2.84,0.0133,B
SKU0365,P02,37.98,7.06,0.0213,B
SKU0366,P06,52.53,2.35,0.0126,C
SKU0367,P05,270.45,0.88,0.0024,B
SKU0368,P04,52.38,4.2,0.0223,A
SKU0369,P01,83.54,4.58,0.0265,B
SKU0370,P08,49.83,3.61,0.0155,B
SKU0371,P04,63.75,3.91,0.0174,A
SKU0372,P07,60.29,1.57,0.0057,B
SKU0373,P05,85.88,0.87,0.0055,B
SKU0374,P04,152.41,0.92,0.0049,C
SKU0375,P09,224.14,0.46,0.0018,C
SKU0376,P01,76.86,2.48,0.0077,B
SKU0377,P08,96.16,1.86,0.0061,B
SKU0378,P08,23.89,1.35,0.0057,C
SKU0379,P04,55.93,0.14,0.001,A
SKU0380,P03,127.3,0.65,0.0035,B
SKU0381,P01,119.96,5.48,0.0179,B
SKU0382,P10,71.07,1.1,0.0064,C
SKU0383,P10,121.93,2.77,0.0108,A
SKU0384,P03,88.85,0.57,0.0033,B
SKU0385,P01,156.74,7.3,0.0246,A
SKU0386,P02,75.63,1.76,0.0086,C
SKU0387,P01,45.14,2.6,0.0159,B
SKU0388,P09,78.49,16.22,0.0557,A
SKU0389,P09,5.75,7.83,0.0405,A
SKU0390,P02,81.5,1.52,0.0097,B
SKU0391,P08,3.24,1.17,0.0035,B
SKU0392,P02,15.11,1.49,0.0041,B
SKU0393,P04,86.12,3.16,0.0161,C
SKU0394,P06,87.91,1.82,0.0068,A
SKU0395,P08,23.67,1.4,0.0038,B
SKU0396,P09,33.94,7.49,0.0322,B
SKU0397,P01,179.61,1.8,0.0097,B
SKU0398,P02,40.74,15.84,0.0561,A
SKU0399,P03,360.93,2.17,0.0081,C
SKU0400,P04,59.91,9.97,0.0577,C
SKU0401,P10,83.16,2.76,0.0124,C
SKU0402,P08,218.73,4.76,0.0275,C
SKU0403,P04,66.63,1.04,0.0044,C
SKU0404,P10,26.91,0.93,0.0058,A
SKU0405,P05,54.96,3.02,0.0151,C
SKU0406,P06,58.31,4.87,0.0139,B
SKU0407,P05,20.14,2.07,0.0123,A
SKU0408,P02,48.9,0.63,0.0027,B
SKU0409,P10,33.14,0.59,0.0018,A
SKU0410,P01,125.69,0.55,0.0017,C
SKU0411,P02,61.68,0.41,0.0021,C
SKU0412,P03,47.85,2.21,0.0057,B
SKU0413,P03,55.11,5.51,0.0195,C
SKU0414,P02,71.73,1.98,0.0059,B
SKU0415,P01,98.28,0.26,0.0011,B
SKU0416,P07,26.97,1.68,0.0068,B
SKU0417,P10,26.08,1.73,0.0078,A
SKU0418,P02,145.2,13.19,0.0464,B
SKU0419,P03,43.14,0.54,0.0014,A
SKU0420,P06,19.31,1.41,0.0068,C
SKU0421,P10,85.58,9.29,0.0362,A
SKU0422,P07,86.92,3.0,0.015,A
SKU0423,P08,17.63,3.32,0.0094,B
SKU0424,P06,72.09,2.22,0.0055,C
SKU0425,P05,108.07,2.69,0.0091,C
SKU0426,P02,80.95,4.03,0.017,A
SKU0427,P09,99.48,0.97,0.0039,A
SKU0428,P09,19.51,4.41,0.0249,B
SKU0429,P01,78.19,0.58,0.0023,A
SKU0430,P08,47.1,2.69,0.0122,B
SKU0431,P01,40.78,2.35,0.0112,B
SKU0432,P08,120.4,1.15,0.0029,A
SKU0433,P09,195.93,1.96,0.0087,C
SKU0434,P02,252.1,1.14,0.0043,B
SKU0435,P05,171.78,0.76,0.0031,B
SKU0436,P02,54.96,1.45,0.0041,B
SKU0437,P06,79.56,0.74,0.0041,B
SKU0438,P10,110.81,2.67,0.0165,A
SKU0439,P01,66.11,0.71,0.0018,B
SKU0440,P04,66.62,3.8,0.0183,A
SKU0441,P10,115.97,0.69,0.0038,A
SKU0442,P04,57.22,1.2,0.0042,B
SKU0443,P02,33.48,1.14,0.0063,B
SKU0444,P05,43.07,6.59,0.0325,B
SKU0445,P06,99.63,2.69,0.0165,B
SKU0446,P07,60.14,1.65,0.0104,C
SKU0447,P04,78.77,3.13,0.008,A
SKU0448,P10,102.56,0.3,0.0013,B
SKU0449,P06,44.45,1.92,0.0088,C
SKU0450,P03,109.87,12.07,0.0361,B
SKU0451,P10,81.24,2.25,0.0084,A
SKU0452,P10,22.34,2.13,0.0135,B
SKU0453,P05,190.22,3.28,0.0081,B
SKU0454,P01,40.2,4.48,0.0189,C
SKU0455,P06,15.96,0.33,0.0019,A
SKU0456,P06,26.01,0.44,0.0016,A
SKU0457,P02,26.51,2.42,0.0105,C
SKU0458,P07,62.56,1.05,0.0066,C
SKU0459,P09,48.2,6.51,0.028,A
SKU0460,P02,45.83,1.51,0.0044,B
SKU0461,P08,98.5,0.35,0.001,B
SKU0462,P02,78.75,0.64,0.004,B
SKU0463,P08,77.26,0.17,0.001,C
SKU0464,P05,83.28,1.62,0.0072,C
SKU0465,P01,98.22,1.69,0.0047,C
SKU0466,P10,11.11,1.36,0.0056,B
SKU0467,P02,44.83,5.28,0.0323,B
SKU0468,P06,10.49,5.88,0.0259,A
SKU0469,P02,61.76,1.72,0.0108,C
SKU0470,P10,59.78,0.29,0.001,C
SKU0471,P08,138.49,3.49,0.0154,A
SKU0472,P09,155.16,3.3,0.0193,A
SKU0473,P05,70.57,2.64,0.0111,B
SKU0474,P05,40.21,4.84,0.017,A
SKU0475,P07,88.45,0.7,0.0041,C
SKU0476,P08,39.33,12.2,0.0483,C
SKU0477,P09,59.93,0.84,0.0038,C
SKU0478,P01,132.06,3.93,0.0248,B
SKU0479,P07,38.4,0.44,0.0014,B
SKU0480,P02,114.31,0.87,0.0031,A
SKU0481,P03,103.16,7.83,0.0198,B
SKU0482,P09,27.95,1.58,0.0063,B
SKU0483,P03,130.77,4.26,0.0136,A
SKU0484,P08,104.92,2.48,0.0127,C
SKU0485,P05,65.1,1.82,0.0057,B
SKU0486,P03,32.61,6.83,0.0348,C
SKU0487,P04,30.17,1.62,0.0056,A
SKU0488,P06,39.03,0.4,0.0015,B
SKU0489,P08,92.61,0.97,0.0037,B
SKU0490,P07,27.93,3.28,0.0173,B
SKU0491,P10,85.14,2.86,0.0122,C
SKU0492,P09,22.22,0.49,0.0019,C
SKU0493,P08,50.96,1.04,0.006,C
SKU0494,P07,65.5,1.18,0.0055,B
SKU0495,P03,424.3,1.44,0.0047,A
SKU0496,P05,19.94,0.58,0.0035,C
SKU0497,P02,194.8,1.14,0.0043,C
SKU0498,P04,67.64,1.04,0.0027,C
SKU0499,P10,83.37,4.0,0.0175,C
SKU0500,P05,65.96,4.14,0.012,B
