,DC,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049
P031,6.34,38.476,39.381,38.856,40.404,39.357,41.856,53.458,55.124,51.575,54.75,46.214,51.844,47.9,50.85,50.959,44.167,41.269,41.264,41.111,42.452,40.204,39.48,41.226,43.461,40.323,4.936,5.319,3.442,3.327,10.988,0.0,7.062,3.969,8.816,4.204,5.325,3.852,1.597,0.829,47.459,50.744,44.446,45.3,45.162,48.348,44.846,43.7,47.207,47.19
P032,4.737,39.438,40.343,39.818,41.366,40.319,42.817,54.42,56.086,52.537,55.712,47.176,60.21,48.862,51.812,51.921,45.129,42.231,42.226,42.073,43.414,41.166,40.442,42.188,44.423,41.286,5.552,10.468,8.942,9.035,16.129,7.062,0.0,9.677,13.956,9.704,1.816,8.88,6.033,7.764,48.421,51.706,45.408,46.262,46.124,49.31,37.026,44.662,48.169,48.152
P033,7.743,39.85,40.755,40.23,39.876,40.731,38.798,50.104,56.945,48.221,56.57,43.158,55.318,43.229,47.794,47.903,40.813,35.766,35.762,35.608,36.95,36.85,36.126,38.232,44.221,36.97,8.422,3.476,2.482,1.037,7.473,3.969,9.677,0.0,5.3,1.708,8.805,1.69,4.212,2.158,44.105,47.39,40.102,41.945,40.872,50.168,41.614,45.52,49.028,49.01
P034,12.546,36.304,37.209,36.684,33.351,37.185,34.293,41.099,53.012,39.216,51.198,31.71,37.339,29.889,36.345,36.454,32.09,27.999,27.995,27.841,29.182,33.119,31.18,34.084,39.612,31.675,12.146,6.742,6.608,6.244,2.226,8.816,13.956,5.3,0.0,5.357,12.542,6.204,8.731,7.585,35.1,38.384,32.496,31.226,33.105,48.291,44.758,43.643,47.15,47.133
P035,9.593,38.421,39.327,38.802,38.448,39.303,37.514,48.82,57.186,46.936,56.811,41.874,54.034,41.944,46.51,46.618,39.528,36.63,36.626,36.472,37.814,35.566,34.842,36.948,41.73,35.685,7.91,1.904,1.482,2.43,7.529,4.204,9.704,1.708,5.357,0.0,8.289,1.14,4.451,3.726,42.82,46.105,39.808,40.661,40.524,50.409,46.908,45.761,49.268,49.251
P036,4.775,38.12,39.026,38.502,40.049,39.002,41.5,53.103,54.769,51.22,54.394,45.86,57.31,47.546,50.495,50.604,43.812,40.914,40.91,40.756,42.097,39.85,39.125,40.871,43.106,39.968,3.202,9.053,7.528,8.163,14.714,5.325,1.816,8.805,12.542,8.289,0.0,7.465,4.618,5.876,47.104,50.388,44.092,44.945,44.807,47.992,40.71,43.344,46.852,46.835
P037,8.588,39.138,40.044,39.519,39.165,40.02,38.23,49.536,57.678,47.653,57.304,42.59,54.902,42.661,47.226,47.335,40.245,37.347,37.342,37.189,38.53,36.282,35.558,37.665,42.446,36.402,7.479,1.584,1.179,1.439,8.377,3.852,8.88,1.69,6.204,1.14,7.465,0.0,3.585,2.468,43.537,46.822,40.524,41.378,41.24,50.902,45.27,46.254,49.761,49.744
P038,7.116,39.489,40.394,39.87,41.418,40.37,42.869,53.674,56.138,51.791,55.763,47.228,58.678,46.799,51.864,51.972,44.383,41.485,41.48,41.327,42.668,40.42,39.696,42.24,44.474,40.54,4.187,4.609,3.69,3.563,10.904,1.597,6.033,4.212,8.731,4.451,4.618,3.585,0.0,1.786,47.675,50.96,44.662,45.516,45.378,49.361,45.86,44.713,48.22,48.203
P039,6.696,38.832,39.738,39.213,40.761,39.714,42.212,51.567,55.481,49.683,55.106,46.572,52.201,48.257,51.207,51.316,42.276,39.378,39.373,39.22,40.561,38.313,37.588,41.583,43.818,38.432,5.48,4.274,3.028,1.517,9.758,0.829,7.764,2.158,7.585,3.726,5.876,2.468,1.786,0.0,45.567,48.852,42.555,43.408,43.27,48.704,45.203,44.056,47.564,47.546
P040,44.566,17.658,17.296,17.053,10.114,17.124,10.742,8.216,20.947,5.53,18.764,12.156,21.464,10.414,12.118,12.617,5.521,8.644,8.763,8.904,7.94,8.948,8.652,13.879,22.682,7.826,47.962,43.202,43.682,43.33,34.252,47.459,48.421,44.105,35.1,42.82,47.104,43.537,47.675,45.567,0.0,5.646,6.96,5.812,4.437,38.455,35.498,33.242,36.746,36.728
P041,47.851,25.692,25.828,21.577,14.638,25.655,15.266,8.534,24.202,7.808,22.388,15.957,21.459,13.699,14.52,14.629,10.045,13.168,13.287,13.428,12.464,13.472,13.176,18.403,24.726,12.35,51.247,46.487,46.966,46.614,37.537,50.744,51.706,47.39,38.384,46.105,50.388,46.822,50.96,48.852,5.646,0.0,11.484,10.336,8.959,40.073,40.022,37.766,42.474,42.457
P042,41.554,11.324,10.961,10.718,6.053,10.788,5.954,13.453,16.996,11.136,15.926,12.56,21.39,10.023,18.462,18.571,2.184,2.928,2.933,2.974,1.582,4.887,4.045,7.864,16.852,3.255,44.95,40.19,40.67,40.404,31.648,44.446,45.408,40.102,32.496,39.808,44.092,40.524,44.662,42.555,6.96,11.484,0.0,1.308,3.739,32.511,29.163,26.907,30.411,30.394
P043,42.407,11.104,10.742,10.498,5.834,10.569,6.007,11.506,17.048,9.19,15.979,13.016,21.845,10.478,17.338,17.448,1.149,3.741,3.91,3.788,2.559,4.668,3.654,7.546,17.484,3.383,45.803,41.043,41.522,41.171,30.378,45.3,46.262,41.945,31.226,40.661,44.945,41.378,45.516,43.408,5.812,10.336,1.308,0.0,3.058,32.511,28.944,26.688,30.191,30.174
P044,42.27,12.303,11.94,11.698,7.032,11.768,7.66,11.726,18.986,7.81,17.172,12.904,22.398,10.367,16.438,16.548,2.439,5.334,5.454,5.595,4.631,5.866,5.624,9.074,20.438,5.22,45.665,40.906,41.385,41.176,32.258,45.162,46.124,40.872,33.105,40.524,44.807,41.24,45.378,43.27,4.437,8.959,3.739,3.058,0.0,35.466,30.142,27.886,31.391,31.373
P045,45.455,19.809,20.7,19.843,26.678,20.782,27.499,32.718,18.944,35.085,23.265,51.08,57.819,47.761,50.88,50.989,32.912,32.847,36.974,32.894,34.998,28.61,29.204,18.947,12.13,29.957,48.851,50.791,51.27,49.526,47.837,48.348,49.31,50.168,48.291,50.409,47.992,50.902,49.361,48.704,38.455,40.073,32.511,32.511,35.466,0.0,16.582,8.93,9.119,9.102
P046,41.954,20.584,20.67,20.354,23.54,21.253,26.66,37.593,33.772,39.96,33.397,50.408,56.037,44.623,55.043,55.152,29.344,33.841,33.836,29.2,31.43,25.472,25.787,22.78,23.943,26.041,45.35,47.29,47.769,43.896,44.304,44.846,37.026,41.614,44.758,46.908,40.71,45.27,45.86,45.203,35.498,40.022,29.163,28.944,30.142,16.582,0.0,7.313,8.007,7.989
P047,40.807,18.328,18.414,18.098,21.284,18.997,24.404,35.337,29.33,37.704,31.138,47.462,54.89,42.367,53.896,54.006,27.088,31.584,31.58,26.944,29.174,23.216,23.531,20.524,18.072,23.785,44.203,46.143,46.622,44.878,43.189,43.7,44.662,45.52,43.643,45.761,43.344,46.254,44.713,44.056,33.242,37.766,26.907,26.688,27.886,8.93,7.313,0.0,1.676,1.658
P048,44.314,17.497,21.918,21.602,24.788,22.501,27.908,33.452,29.554,35.82,29.526,50.969,58.398,45.871,57.404,57.513,30.592,35.088,35.084,30.448,32.678,26.72,27.035,24.028,14.695,27.289,47.71,49.65,50.13,48.386,46.696,47.207,48.169,49.028,47.15,49.268,46.852,49.761,48.22,47.564,36.746,42.474,30.411,30.191,31.391,9.119,8.007,1.676,0.0,0.227
P049,44.297,17.48,21.9,21.585,24.77,22.484,27.891,33.434,29.537,35.802,29.509,50.951,58.38,45.854,57.386,57.496,30.575,35.071,35.066,30.431,32.66,26.702,27.018,24.01,14.677,27.272,47.693,49.633,50.112,48.368,46.679,47.19,48.152,49.01,47.133,49.251,46.835,49.744,48.203,47.546,36.728,42.457,30.394,30.174,31.373,9.102,7.989,1.658,0.227,0.0
