sku_id,outbound_lines,walk_dist_before_m,walk_dist_after_m,loc_id_after
SKU0093,78.0,76.5,42.0,L0178
SKU0312,78.0,82.5,42.0,L0444
SKU0259,77.0,76.5,42.0,L0254
SKU0034,76.0,81.0,42.0,L0064
SKU0111,76.0,85.5,43.5,L0065
SKU0230,76.0,82.5,43.5,L0179
SKU0080,75.0,82.5,43.5,L0331
SKU0227,75.0,79.5,43.5,L0293
SKU0328,75.0,82.5,43.5,L0027
SKU0084,74.0,81.0,43.5,L0369
SKU0282,74.0,78.0,43.5,L0217
SKU0326,73.0,84.0,43.5,L0445
SKU0447,73.0,81.0,43.5,L0255
SKU0487,73.0,78.0,45.0,L0066
SKU0007,72.0,82.5,45.0,L0180
SKU0121,71.0,81.0,45.0,L0104
SKU0394,71.0,79.5,45.0,L0446
SKU0072,70.0,79.5,45.0,L0142
SKU0146,70.0,78.0,45.0,L0522
SKU0202,70.0,76.5,45.0,L0332
SKU0263,70.0,79.5,45.0,L0256
SKU0368,70.0,79.5,45.0,L0408
SKU0431,70.0,73.5,46.5,L0143
SKU0474,70.0,79.5,46.5,L0371
SKU0196,69.0,75.0,46.5,L0105
SKU0101,68.0,78.0,46.5,L0523
SKU0218,68.0,81.0,46.5,L0257
SKU0318,68.0,72.0,46.5,L0485
SKU0406,68.0,72.0,46.5,L0181
SKU0293,67.0,73.5,46.5,L0219
SKU0119,66.0,78.0,46.5,L0561
SKU0122,66.0,79.5,48.0,L0182
SKU0335,66.0,69.0,48.0,L0144
SKU0056,65.0,75.0,48.0,L0524
SKU0126,65.0,75.0,48.0,L0258
SKU0221,65.0,76.5,48.0,L0068
SKU0308,65.0,78.0,48.0,L0030
SKU0452,65.0,73.5,48.0,L0562
SKU0210,64.0,72.0,48.0,L0106
SKU0222,64.0,81.0,48.0,L0296
SKU0440,64.0,79.5,49.5,L0487
SKU0091,63.0,73.5,49.5,L0525
SKU0216,63.0,72.0,49.5,L0145
SKU0303,63.0,76.5,49.5,L0335
SKU0342,63.0,67.5,49.5,L0107
SKU0157,62.0,72.0,49.5,L0411
SKU0217,62.0,75.0,49.5,L0373
SKU0423,62.0,73.5,49.5,L0221
SKU0055,61.0,76.5,49.5,L0563
SKU0288,61.0,70.5,49.5,L0449
SKU0391,61.0,73.5,51.0,L0222
SKU0035,60.0,75.0,51.0,L0526
SKU0346,60.0,76.5,51.0,L0602
SKU0418,60.0,76.5,51.0,L0108
SKU0472,60.0,78.0,51.0,L0298
SKU0180,58.0,76.5,51.0,L0374
SKU0246,58.0,75.0,51.0,L0146
SKU0365,58.0,75.0,51.0,L0184
SKU0372,58.0,69.0,51.0,L0450
SKU0397,58.0,75.0,51.0,L0564
SKU0489,58.0,70.5,52.5,L0033
SKU0294,57.0,75.0,52.5,L0375
SKU0415,57.0,69.0,52.5,L0337
SKU0229,56.0,64.5,52.5,L0565
SKU0260,56.0,67.5,52.5,L0223
SKU0267,56.0,76.5,52.5,L0147
SKU0360,56.0,72.0,52.5,L0071
SKU0176,55.0,67.5,52.5,L0489
SKU0363,55.0,69.0,52.5,L0185
SKU0184,54.0,70.5,52.5,L0299
SKU0286,54.0,70.5,52.5,L0109
SKU0439,54.0,61.5,54.0,L0072
SKU0009,53.0,63.0,54.0,L0110
SKU0228,53.0,75.0,54.0,L0224
SKU0280,53.0,78.0,54.0,L0528
SKU0370,53.0,72.0,54.0,L0642
SKU0377,53.0,70.5,54.0,L0148
SKU0231,52.0,69.0,54.0,L0034
SKU0295,52.0,73.5,54.0,L0452
SKU0319,52.0,67.5,54.0,L0414
SKU0016,51.0,63.0,54.0,L0604
SKU0051,51.0,63.0,54.0,L0186
SKU0074,51.0,70.5,55.5,L0567
SKU0193,51.0,61.5,55.5,L0681
SKU0234,51.0,57.0,55.5,L0149
SKU0364,51.0,70.5,55.5,L0605
SKU0444,51.0,64.5,55.5,L0377
SKU0031,50.0,69.0,55.5,L0225
SKU0046,50.0,66.0,55.5,L0073
SKU0054,50.0,63.0,55.5,L0301
SKU0179,50.0,70.5,55.5,L0339
SKU0208,50.0,72.0,55.5,L0111
SKU0336,50.0,52.5,55.5,L0643
SKU0339,50.0,64.5,57.0,L0454
SKU0373,50.0,73.5,57.0,L0416
SKU0414,50.0,69.0,57.0,L0606
SKU0006,49.0,60.0,57.0,L0492
SKU0008,49.0,64.5,57.0,L0682
SKU0130,49.0,61.5,57.0,L0112
SKU0148,49.0,64.5,57.0,L0150
SKU0156,49.0,64.5,57.0,L0074
SKU0380,49.0,67.5,57.0,L0340
SKU0004,48.0,73.5,57.0,L0644
SKU0082,48.0,66.0,57.0,L0302
SKU0396,48.0,58.5,58.5,L0531
SKU0494,48.0,67.5,58.5,L0493
SKU0114,47.0,67.5,58.5,L0721
SKU0133,47.0,70.5,58.5,L0113
SKU0161,47.0,70.5,58.5,L0151
SKU0311,47.0,64.5,58.5,L0569
SKU0392,47.0,66.0,58.5,L0075
SKU0462,47.0,66.0,58.5,L0379
SKU0087,46.0,72.0,58.5,L0189
SKU0170,46.0,54.0,58.5,L0227
SKU0219,46.0,57.0,58.5,L0607
SKU0243,46.0,66.0,58.5,L0341
SKU0251,46.0,69.0,60.0,L0608
SKU0369,46.0,66.0,60.0,L0646
SKU0412,46.0,64.5,60.0,L0228
SKU0144,45.0,78.0,60.0,L0380
SKU0154,45.0,60.0,60.0,L0342
SKU0167,45.0,51.0,60.0,L0570
SKU0182,45.0,48.0,60.0,L0418
SKU0207,45.0,64.5,60.0,L0190
SKU0390,45.0,67.5,60.0,L0076
SKU0430,45.0,61.5,60.0,L0532
SKU0436,45.0,69.0,60.0,L0684
SKU0442,45.0,57.0,60.0,L0038
SKU0445,45.0,67.5,61.5,L0761
SKU0460,45.0,70.5,61.5,L0571
SKU0481,45.0,69.0,61.5,L0647
SKU0181,44.0,73.5,61.5,L0039
SKU0189,44.0,46.5,61.5,L0343
SKU0298,44.0,72.0,61.5,L0267
SKU0345,44.0,58.5,61.5,L0381
SKU0113,43.0,49.5,61.5,L0609
SKU0322,43.0,52.5,61.5,L0685
SKU0395,43.0,64.5,61.5,L0115
SKU0428,43.0,58.5,61.5,L0305
SKU0479,43.0,63.0,61.5,L0191
SKU0039,42.0,63.0,63.0,L0230
SKU0057,42.0,66.0,63.0,L0762
SKU0115,42.0,63.0,63.0,L0724
SKU0127,42.0,52.5,63.0,L0534
SKU0242,42.0,63.0,63.0,L0344
SKU0340,42.0,54.0,63.0,L0686
SKU0453,42.0,66.0,63.0,L0572
SKU0018,41.0,58.5,63.0,L0306
SKU0128,41.0,61.5,63.0,L0116
SKU0224,41.0,66.0,63.0,L0040
SKU0292,41.0,49.5,63.0,L0154
SKU0376,41.0,67.5,63.0,L0382
SKU0387,41.0,61.5,63.0,L0268
SKU0029,40.0,55.5,64.5,L0763
SKU0235,40.0,54.0,64.5,L0535
SKU0237,40.0,51.0,64.5,L0307
SKU0241,40.0,57.0,64.5,L0611
SKU0252,40.0,66.0,64.5,L0573
SKU0304,40.0,55.5,64.5,L0459
SKU0327,40.0,48.0,64.5,L0421
SKU0448,40.0,51.0,64.5,L0649
SKU0467,40.0,60.0,64.5,L0383
SKU0497,40.0,33.0,64.5,L0117
SKU0065,39.0,58.5,64.5,L0725
SKU0068,39.0,63.0,64.5,L0155
SKU0069,39.0,57.0,66.0,L0764
SKU0095,39.0,64.5,66.0,L0574
SKU0329,39.0,67.5,66.0,L0460
SKU0381,39.0,60.0,66.0,L0194
SKU0015,38.0,57.0,66.0,L0118
SKU0023,38.0,39.0,66.0,L0422
SKU0040,38.0,63.0,66.0,L0156
SKU0071,38.0,58.5,66.0,L0650
SKU0173,38.0,63.0,66.0,L0726
SKU0233,38.0,58.5,66.0,L0308
SKU0285,38.0,52.5,66.0,L0270
SKU0393,38.0,40.5,66.0,L0612
SKU0405,38.0,49.5,67.5,L0385
SKU0473,38.0,69.0,67.5,L0613
SKU0482,38.0,60.0,67.5,L0119
SKU0500,38.0,60.0,67.5,L0461
SKU0003,37.0,36.0,67.5,L0537
SKU0063,37.0,66.0,67.5,L0727
SKU0120,37.0,55.5,67.5,L0271
SKU0186,37.0,61.5,67.5,L0195
SKU0238,37.0,64.5,67.5,L0651
SKU0254,37.0,34.5,67.5,L0689
SKU0269,37.0,52.5,67.5,L0347
SKU0276,37.0,54.0,69.0,L0690
SKU0343,37.0,61.5,69.0,L0272
SKU0450,37.0,55.5,69.0,L0538
SKU0478,37.0,52.5,69.0,L0386
SKU0112,36.0,51.0,69.0,L0614
SKU0239,36.0,60.0,69.0,L0120
SKU0314,36.0,60.0,69.0,L0766
SKU0461,36.0,60.0,69.0,L0652
SKU0463,36.0,46.5,69.0,L0462
SKU0465,36.0,43.5,69.0,L0234
SKU0488,36.0,61.5,69.0,L0196
SKU0038,35.0,49.5,70.5,L0425
SKU0062,35.0,48.0,70.5,L0349
SKU0066,35.0,49.5,70.5,L0159
SKU0100,35.0,60.0,70.5,L0311
SKU0132,35.0,51.0,70.5,L0235
SKU0141,35.0,54.0,70.5,L0501
SKU0273,35.0,55.5,70.5,L0197
SKU0302,35.0,57.0,70.5,L0691
SKU0367,35.0,57.0,70.5,L0387
SKU0437,35.0,61.5,70.5,L0463
SKU0013,34.0,55.5,70.5,L0729
SKU0099,34.0,40.5,72.0,L0388
SKU0194,34.0,55.5,72.0,L0616
SKU0290,34.0,37.5,72.0,L0540
SKU0330,34.0,54.0,72.0,L0730
SKU0347,34.0,39.0,72.0,L0464
SKU0366,34.0,42.0,72.0,L0236
SKU0408,34.0,60.0,72.0,L0502
SKU0019,33.0,61.5,72.0,L0768
SKU0020,33.0,51.0,72.0,L0198
SKU0026,33.0,30.0,72.0,L0692
SKU0037,33.0,37.5,73.5,L0693
SKU0053,33.0,55.5,73.5,L0617
SKU0094,33.0,42.0,73.5,L0275
SKU0110,33.0,58.5,73.5,L0541
SKU0134,33.0,30.0,73.5,L0389
SKU0138,33.0,49.5,73.5,L0427
SKU0149,33.0,51.0,73.5,L0237
SKU0213,33.0,63.0,73.5,L0731
SKU0223,33.0,52.5,73.5,L0769
SKU0253,33.0,54.0,73.5,L0351
SKU0296,33.0,45.0,75.0,L0314
SKU0320,33.0,46.5,75.0,L0618
SKU0384,33.0,61.5,75.0,L0200
SKU0416,33.0,55.5,75.0,L0580
SKU0485,33.0,58.5,75.0,L0238
SKU0492,33.0,45.0,75.0,L0276
SKU0073,32.0,43.5,75.0,L0352
SKU0078,32.0,31.5,75.0,L0504
SKU0079,32.0,60.0,75.0,L0390
SKU0105,32.0,18.0,75.0,L0656
SKU0158,32.0,49.5,76.5,L0239
SKU0166,32.0,66.0,76.5,L0657
SKU0188,32.0,43.5,76.5,L0429
SKU0190,32.0,57.0,76.5,L0733
SKU0352,32.0,37.5,76.5,L0315
SKU0359,32.0,43.5,76.5,L0695
SKU0402,32.0,45.0,76.5,L0581
SKU0410,32.0,46.5,76.5,L0277
SKU0434,32.0,63.0,76.5,L0619
SKU0443,32.0,57.0,76.5,L0771
SKU0490,32.0,52.5,78.0,L0316
SKU0012,31.0,30.0,78.0,L0468
SKU0024,31.0,54.0,78.0,L0354
SKU0103,31.0,19.5,78.0,L0544
SKU0125,31.0,55.5,78.0,L0772
SKU0160,31.0,49.5,78.0,L0734
SKU0211,31.0,40.5,78.0,L0278
SKU0212,31.0,39.0,78.0,L0392
SKU0262,31.0,36.0,78.0,L0658
SKU0297,31.0,40.5,79.5,L0507
SKU0313,31.0,48.0,79.5,L0317
SKU0321,31.0,54.0,79.5,L0355
SKU0333,31.0,40.5,79.5,L0621
SKU0401,31.0,31.5,79.5,L0735
SKU0403,31.0,24.0,79.5,L0583
SKU0420,31.0,45.0,79.5,L0545
SKU0470,31.0,45.0,79.5,L0697
SKU0032,30.0,45.0,79.5,L0431
SKU0118,30.0,28.5,81.0,L0660
SKU0155,30.0,58.5,81.0,L0736
SKU0178,30.0,54.0,81.0,L0622
SKU0185,30.0,52.5,81.0,L0432
SKU0215,30.0,51.0,81.0,L0318
SKU0307,30.0,46.5,81.0,L0508
SKU0477,30.0,28.5,81.0,L0698
SKU0498,30.0,34.5,81.0,L0584
SKU0117,29.0,34.5,82.5,L0395
SKU0137,29.0,46.5,82.5,L0509
SKU0150,29.0,45.0,82.5,L0737
SKU0171,29.0,51.0,82.5,L0585
SKU0250,29.0,52.5,82.5,L0699
SKU0256,29.0,45.0,82.5,L0775
SKU0475,29.0,40.5,82.5,L0661
SKU0017,28.0,42.0,82.5,L0623
SKU0050,28.0,22.5,82.5,L0357
SKU0075,28.0,22.5,84.0,L0358
SKU0136,28.0,55.5,84.0,L0510
SKU0165,28.0,40.5,84.0,L0624
SKU0174,28.0,33.0,84.0,L0662
SKU0183,28.0,25.5,84.0,L0548
SKU0236,28.0,39.0,84.0,L0700
SKU0341,28.0,18.0,84.0,L0434
SKU0349,28.0,25.5,84.0,L0320
SKU0356,28.0,51.0,85.5,L0587
SKU0361,28.0,28.5,85.5,L0473
SKU0435,28.0,54.0,85.5,L0701
SKU0464,28.0,30.0,85.5,L0739
SKU0466,28.0,58.5,85.5,L0359
SKU0014,27.0,58.5,85.5,L0625
SKU0077,27.0,48.0,85.5,L0549
SKU0109,27.0,42.0,87.0,L0588
SKU0152,27.0,21.0,87.0,L0512
SKU0209,27.0,52.5,87.0,L0664
SKU0244,27.0,19.5,87.0,L0740
SKU0291,27.0,39.0,87.0,L0398
SKU0375,27.0,40.5,87.0,L0550
SKU0425,27.0,46.5,87.0,L0626
SKU0499,27.0,36.0,87.0,L0436
SKU0021,26.0,42.0,88.5,L0513
SKU0022,26.0,42.0,88.5,L0741
SKU0028,26.0,25.5,88.5,L0475
SKU0058,26.0,48.0,88.5,L0399
SKU0200,26.0,37.5,88.5,L0589
SKU0255,26.0,43.5,88.5,L0627
SKU0272,26.0,28.5,88.5,L0551
SKU0305,26.0,45.0,90.0,L0438
SKU0309,26.0,34.5,90.0,L0742
SKU0331,26.0,43.5,90.0,L0514
SKU0382,26.0,37.5,90.0,L0590
SKU0386,26.0,27.0,90.0,L0476
SKU0454,26.0,43.5,90.0,L0628
SKU0484,26.0,24.0,91.5,L0781
SKU0041,25.0,46.5,91.5,L0591
SKU0090,25.0,31.5,91.5,L0553
SKU0175,25.0,34.5,91.5,L0439
SKU0187,25.0,39.0,91.5,L0743
SKU0226,25.0,43.5,91.5,L0477
SKU0266,25.0,21.0,91.5,L0705
SKU0275,25.0,19.5,93.0,L0668
SKU0334,25.0,57.0,93.0,L0478
SKU0378,25.0,31.5,93.0,L0630
SKU0413,25.0,48.0,93.0,L0592
SKU0476,25.0,10.5,93.0,L0782
SKU0124,24.0,42.0,93.0,L0706
SKU0169,24.0,46.5,94.5,L0783
SKU0278,24.0,48.0,94.5,L0707
SKU0310,24.0,22.5,94.5,L0631
SKU0353,24.0,31.5,94.5,L0479
SKU0424,24.0,25.5,94.5,L0593
SKU0446,24.0,36.0,94.5,L0517
SKU0457,24.0,49.5,96.0,L0632
SKU0491,24.0,39.0,96.0,L0594
SKU0496,24.0,21.0,96.0,L0518
SKU0086,23.0,12.0,96.0,L0708
SKU0131,23.0,33.0,96.0,L0556
SKU0135,23.0,21.0,97.5,L0785
SKU0240,23.0,34.5,97.5,L0557
SKU0265,23.0,27.0,97.5,L0747
SKU0268,23.0,37.5,97.5,L0595
SKU0358,23.0,9.0,97.5,L0633
SKU0374,23.0,27.0,99.0,L0596
SKU0400,23.0,33.0,99.0,L0558
SKU0449,23.0,28.5,99.0,L0634
SKU0469,23.0,48.0,99.0,L0786
SKU0486,23.0,15.0,99.0,L0748
SKU0048,22.0,43.5,100.5,L0711
SKU0083,22.0,24.0,100.5,L0749
SKU0151,22.0,39.0,100.5,L0673
SKU0164,22.0,12.0,100.5,L0559
SKU0172,22.0,42.0,100.5,L0597
SKU0271,22.0,30.0,102.0,L0598
SKU0315,22.0,33.0,102.0,L0750
SKU0362,22.0,33.0,102.0,L0560
SKU0493,22.0,19.5,102.0,L0712
SKU0258,21.0,15.0,103.5,L0675
SKU0323,21.0,30.0,103.5,L0751
SKU0324,21.0,36.0,103.5,L0713
SKU0325,21.0,36.0,103.5,L0789
SKU0096,20.0,25.5,105.0,L0714
SKU0195,20.0,28.5,105.0,L0676
SKU0277,20.0,27.0,105.0,L0790
SKU0281,20.0,37.5,106.5,L0715
SKU0300,20.0,34.5,106.5,L0677
SKU0043,19.0,4.5,106.5,L0791
SKU0104,19.0,16.5,106.5,L0639
SKU0107,19.0,36.0,108.0,L0792
SKU0220,19.0,27.0,108.0,L0640
SKU0399,19.0,22.5,108.0,L0716
SKU0433,19.0,13.5,109.5,L0793
SKU0458,19.0,7.5,109.5,L0755
SKU0344,18.0,16.5,111.0,L0718
SKU0097,17.0,31.5,111.0,L0680
SKU0289,17.0,13.5,111.0,L0794
SKU0177,16.0,16.5,112.5,L0795
SKU0248,16.0,49.5,112.5,L0719
SKU0411,16.0,15.0,114.0,L0758
SKU0299,15.0,24.0,115.5,L0797
SKU0247,14.0,18.0,115.5,L0759
SKU0067,12.0,6.0,117.0,L0760
SKU0225,12.0,10.5,120.0,L0800
