date,inventory_accuracy,stocktake_discrepancy_rate,receipt_timeliness_rate,picking_lines_per_hour,abs_diff_value,book_value,n_stocktake_records,n_discrepancy_records,n_receipts,n_pick_lines,picking_seconds
2026-06-26,0.9955995578213082,0.08,0.7982456140350878,34.31009957325747,1836.89,417433.05,50,50,114,335,35150.0
2026-06-27,0.9984304489142649,0.06,0.7735849056603774,33.79224030037547,674.81,429938.22000000003,50,50,106,465,49538.0
2026-06-28,0.9987192740961066,0.06,0.7844827586206896,33.81520767944283,431.15999999999997,336652.83,50,50,116,410,43649.0
2026-06-29,0.9980498286682793,0.04,0.8137254901960784,33.64717627416218,579.36,297081.59,50,50,102,543,58097.0
2026-06-30,0.9969373160752873,0.14,0.8598130841121495,33.430030901179286,1335.5500000000002,436071.77,50,50,107,589,63428.0
2026-07-01,0.9998673759649533,0.02,0.7850467289719626,32.58223581549216,48.2,363433.37,50,50,107,435,48063.0
2026-07-02,0.9988743419412912,0.08,0.8067226890756303,34.605597964376585,755.46,671127.4299999999,50,50,119,442,45981.0
2026-07-03,0.9996350798806127,0.04,0.8055555555555556,34.31185665268776,200.89000000000001,550504.04,50,50,108,600,62952.0
2026-07-04,0.9987869101574709,0.02,0.8317757009345794,31.61941867022095,489.96,403894.24,50,50,107,514,58521.0
2026-07-05,0.9997842203282009,0.02,0.8061224489795918,32.11727748691099,107.16,496617.68,50,50,98,426,47750.0
2026-07-06,1.0,0.0,0.7931034482758621,31.922068190333455,0.0,452922.58,50,50,116,426,48042.0
2026-07-07,1.0,0.0,0.8240740740740741,32.04916502735379,0.0,577147.37,50,50,108,620,69643.0
2026-07-08,0.9993349123270587,0.04,0.7894736842105263,32.59857467870003,396.76,596552.93,50,50,114,601,66371.0
2026-07-09,0.999531904820214,0.06,0.7727272727272727,32.91436626336192,230.78,493019.39,50,50,110,467,51078.0
2026-07-10,0.9980662527251585,0.08,0.8018018018018018,33.41535313177577,1096.3000000000002,566930.34,50,50,111,381,41047.0
2026-07-11,0.9992953965218029,0.08,0.7894736842105263,33.534367662630636,590.53,838102.59,50,50,95,607,65163.0
2026-07-12,0.9979319830711844,0.04,0.8333333333333334,32.5953340823475,831.55,402100.19,50,50,108,548,60524.0
2026-07-13,0.9993531943571856,0.04,0.7844827586206896,32.802217669037006,427.66,661187.8,50,50,116,378,41485.0
2026-07-14,0.9998757855782445,0.02,0.8813559322033898,33.73667679316204,82.44,663691.05,50,50,118,364,38842.0
2026-07-15,0.9969563077927863,0.14,0.7425742574257426,33.59202530781311,2645.9300000000003,869315.89,50,50,101,410,43939.0
2026-07-16,0.9997466213058493,0.06,0.8407079646017699,33.33272217231074,168.75,665999.17,50,50,113,505,54541.0
2026-07-17,1.0,0.0,0.8118811881188119,32.69606813296918,0.0,1080964.21,50,50,101,562,61879.0
2026-07-18,0.9952490305807576,0.12,0.8363636363636363,32.45487137555821,3073.06,646827.99,50,50,110,430,47697.0
2026-07-19,0.999042246117298,0.06,0.7619047619047619,34.20728488474397,1049.96,1096273.29,50,50,105,432,45464.0
2026-07-20,0.9981884906704197,0.08,0.7931034482758621,32.82830986669522,902.08,497971.49,50,50,116,511,56037.0
2026-07-21,0.9983984263825489,0.06,0.7567567567567568,33.24313877077696,1199.97,749244.36,50,50,111,645,69849.0
2026-07-22,0.9994179332612932,0.08,0.8303571428571429,33.93678918239504,441.71,758864.87,50,50,112,465,49327.0
2026-07-23,0.9980594842161333,0.04,0.7647058823529411,32.863121996589676,1235.8500000000001,636866.76,50,50,102,530,58059.0
2026-07-24,0.9989826974602505,0.06,0.8504672897196262,32.86516853932584,679.69,668129.66,50,50,107,455,49840.0
2026-07-25,0.9986766866601576,0.1,0.8252427184466019,33.76732465350693,1191.1799999999998,900149.62,50,50,103,469,50001.0
2026-07-26,0.9987372589709498,0.1,0.8034188034188035,32.0936857097642,1003.5799999999999,794763.12,50,50,117,338,37914.0
2026-07-27,0.9997111951757376,0.02,0.8378378378378378,34.22731779240918,229.05,793096.17,50,50,111,374,39337.0
2026-07-28,0.9997554647769268,0.04,0.7130434782608696,33.16049964647655,175.68,718424.11,50,50,115,469,50916.0
2026-07-29,0.9998818629505062,0.02,0.8367346938775511,31.00504268810225,72.12,610477.41,50,50,98,345,40058.0
2026-07-30,0.9992252029577996,0.04,0.7909090909090909,34.417122432281126,435.39,561940.71,50,50,110,444,46442.0
2026-07-31,0.9991950657691877,0.1,0.8301886792452831,33.403209732293206,1140.39,1416749.29,50,50,106,540,58198.0
2026-08-01,0.9993845518329945,0.04,0.7927927927927928,32.75482622631198,419.61,681795.84,50,50,111,616,67703.0
2026-08-02,0.9979546314702243,0.12,0.8288288288288288,34.76500361532899,2765.5,1352079.08,50,50,111,601,62235.0
2026-08-03,0.9995448097280829,0.04,0.8728813559322034,32.59099527828382,345.67999999999995,759418.6900000001,50,50,118,487,53794.0
2026-08-04,0.9998595288814185,0.02,0.8144329896907216,33.29374605180038,106.77000000000001,760085.07,50,50,97,366,39575.0
2026-08-05,0.9990616595725773,0.04,0.8113207547169812,32.111664016848714,608.84,648847.67,50,50,106,432,48431.0
2026-08-06,0.9994976253432251,0.04,0.8288288288288288,32.62913997546681,382.74,761861.6799999999,50,50,111,665,73370.0
2026-08-07,0.9991494139264683,0.06,0.8151260504201681,33.571508139849456,549.75,646319.07,50,50,119,586,62839.0
2026-08-08,0.9998079380147519,0.02,0.803921568627451,33.72533386485948,136.86,712582.45,50,50,102,517,55187.0
2026-08-09,1.0,0.0,0.8333333333333334,33.94934976043806,0.0,806005.8,50,50,108,496,52596.0
2026-08-10,1.0,0.0,0.8207547169811321,33.61893104855161,0.0,770835.37,50,50,106,412,44118.0
2026-08-11,0.9999141222673081,0.02,0.7610619469026548,32.77786271212353,72.48,843990.61,50,50,113,536,58869.0
2026-08-12,0.9992012689058405,0.06,0.8018867924528302,32.089303565478176,614.74,769645.76,50,50,106,642,72024.0
2026-08-13,0.9992004807540332,0.04,0.8434782608695652,34.25923822934884,1141.2,1427357.76,50,50,115,419,44029.0
2026-08-14,0.9995492323642143,0.06,0.8301886792452831,33.233685971406885,377.84000000000003,838214.5700000001,50,50,106,596,64561.0
2026-08-15,0.9994018825725532,0.04,0.8378378378378378,33.62266696649427,678.47,1134342.47,50,50,111,623,66705.0
2026-08-16,0.99957878025423,0.04,0.8775510204081632,32.392936878425004,300.11,712478.47,50,50,98,665,73905.0
2026-08-17,0.9995888494606766,0.04,0.8347826086956521,33.17585746668644,380.18,924673.48,50,50,115,435,47203.0
2026-08-18,0.9992593158212721,0.06,0.8454545454545455,34.47499734579043,801.71,1082391.15,50,50,110,451,47095.0
2026-08-19,0.9975802927021392,0.04,0.8214285714285714,33.53727901614143,2175.11,898914.51,50,50,112,606,65050.0
2026-08-20,0.9990188664935233,0.08,0.8240740740740741,32.37496123687592,774.1099999999999,788995.58,50,50,108,406,45146.0
2026-08-21,0.9997379135138533,0.04,0.8198198198198198,34.35114503816794,440.15000000000003,1679407.46,50,50,111,505,52924.0
2026-08-22,0.9991883238989578,0.06,0.81,32.769054764312834,698.72,860835.99,50,50,100,549,60313.0
2026-08-23,0.9995481980981427,0.04,0.8,33.18501603505885,533.4,1180605.92,50,50,110,549,59557.0
2026-08-24,0.9995743551277618,0.04,0.7685185185185185,32.52252672860544,636.6800000000001,1495800.94,50,50,108,387,42838.0
2026-08-25,0.9990364638125228,0.08,0.8275862068965517,34.556815707034325,1046.3300000000002,1085927.04,50,50,116,573,59693.0
2026-08-26,0.9997172898531335,0.04,0.8691588785046729,32.96060037523452,261.43,924728.04,50,50,107,488,53300.0
2026-08-27,0.9992182251698862,0.06,0.8305084745762712,32.81071618844661,736.91,942611.5700000001,50,50,118,479,52556.0
2026-08-28,0.9993554049354127,0.06,0.8041237113402062,31.672349805014978,528.25,819506.74,50,50,97,467,53081.0
2026-08-29,0.9997290761576854,0.04,0.7549019607843137,32.83808368708308,210.29,776195.99,50,50,102,361,39576.0
