date,n_orders_total,n_orders_served,n_orders_unserved,n_trips,total_distance_km,n_ontime,time_window_rate,load_rate_mean,mileage_utilization,diesel_cost,diesel_per_order,ev_cost,ev_per_order
2026-06-17,115,114,1,10,1155.697,110,0.9649122807017544,0.794932142857143,0.6113185376443825,4812.82367,41.85064060869565,4348.5066799999995,37.81310156521739
2026-06-18,102,102,0,11,1225.027,90,0.8823529411764706,0.49776688311688316,0.6083555709384364,5242.7799700000005,51.399803627450986,4763.01188,46.69619490196079
2026-06-19,101,101,0,10,1097.171,77,0.7623762376237624,0.5651778571428571,0.5978776325659354,4747.85981,47.008512970297026,4322.7552399999995,42.79955683168316
2026-06-20,98,98,0,12,1185.199,81,0.826530612244898,0.6774023809523809,0.5756391964556163,5551.570889999999,56.6486825510204,5129.48756,52.34170979591836
2026-06-21,137,135,2,10,1151.53,121,0.8962962962962963,0.7744014285714285,0.613478589355032,4808.1983,35.09633795620438,4346.673199999999,31.72754160583941
2026-06-22,112,103,9,10,1049.489,90,0.8737864077669902,0.6982828571428572,0.6142665621078448,4694.932790000001,41.91904276785715,4301.77516,38.40870678571429
2026-06-23,109,106,3,9,983.993,96,0.9056603773584906,0.7434571428571428,0.5963751774656934,4269.23223,39.167268165137614,3888.9569199999996,35.678503853211005
2026-06-24,105,102,3,10,1033.004,96,0.9411764705882353,0.71146,0.5930344897018792,4676.63444,44.53937561904762,4294.52176,40.900207238095234
2026-06-25,101,101,0,12,1226.711,89,0.8811881188118812,0.5158863095238095,0.581591752254606,5597.6492100000005,55.4222694059406,5147.752840000001,50.96784990099011
2026-06-26,98,98,0,9,1066.477,77,0.7857142857142857,0.5684341269841271,0.624804848112055,4360.78947,44.497851734693874,3925.2498799999994,40.05357020408162
2026-06-27,97,94,3,8,956.633,90,0.9574468085106383,0.6689383928571428,0.6107190531792235,3885.8626300000005,40.06043948453609,3492.9185200000006,36.00946927835052
2026-06-28,114,109,5,11,1117.01,96,0.8807339449541285,0.5894123376623376,0.5818873600057295,5122.8811000000005,44.937553508771934,4715.484399999999,41.36389824561403
2026-06-29,100,98,2,10,1119.859,78,0.7959183673469388,0.5530185714285714,0.5806382767830592,4773.043490000001,47.730434900000006,4332.73796,43.3273796
2026-06-30,107,105,2,10,1158.046,88,0.8380952380952381,0.6784528571428572,0.6161801862793016,4815.43106,45.00402859813084,4349.54024,40.64990878504673
2026-07-01,77,77,0,12,1149.088,72,0.935064935064935,0.49290654761904773,0.5966627447158094,5511.487679999999,71.57776207792207,5113.598720000001,66.410372987013
2026-07-02,104,99,5,9,965.825,86,0.8686868686868687,0.7306055555555555,0.5975130070147284,4249.06575,40.85640144230769,3880.963,37.31695192307693
2026-07-03,97,91,6,10,1081.704,73,0.8021978021978022,0.5005835714285715,0.5745906458698499,4730.6914400000005,48.77001484536083,4315.9497599999995,44.494327422680406
2026-07-04,87,87,0,9,792.418,75,0.8620689655172413,0.6575484126984127,0.6538266419995508,4056.5839800000003,46.62740206896552,3804.66392,43.7317691954023
2026-07-05,95,95,0,8,922.416,81,0.8526315789473684,0.4904473214285715,0.5998291443340098,3847.88176,40.50401852631579,3477.86304,36.60908463157895
2026-07-06,110,110,0,9,1061.913,93,0.8454545454545455,0.7523349206349208,0.6279337384512668,4355.72343,39.597485727272726,3923.24172,35.66583381818182
2026-07-07,99,99,0,11,1128.527,86,0.8686868686868687,0.6962181818181818,0.6090922060349464,5135.66497,51.87540373737374,4720.55188,47.682342222222225
2026-07-08,94,94,0,8,983.189,81,0.8617021276595744,0.5935276785714285,0.626067826226697,3915.33979,41.652550957446806,3504.60316,37.283012340425536
2026-07-09,104,88,16,10,1155.13,79,0.8977272727272727,0.5360342857142857,0.6174967319695619,4812.1943,46.27109903846154,4348.257200000001,41.810165384615395
2026-07-10,107,105,2,9,883.805,85,0.8095238095238095,0.49128571428571427,0.5936558403720277,4158.02355,38.860033177570095,3844.8742,35.93340373831776
2026-07-11,95,93,2,10,1047.858,84,0.9032258064516129,0.4152264285714285,0.5914179211305348,4693.122380000001,49.401288210526324,4301.05752,45.27428968421053
2026-07-12,84,83,1,9,945.758,69,0.8313253012048193,0.4849515873015873,0.588115564446719,4226.791380000001,50.31894500000001,3872.1335199999994,46.09682761904761
2026-07-13,132,132,0,11,1170.145,105,0.7954545454545454,0.7003162337662339,0.5857949228514414,5181.86095,39.25652234848485,4738.8638,35.900483333333334
2026-07-14,115,111,4,10,1099.74,109,0.9819819819819819,0.635235,0.587343372069762,4750.7114,41.31053391304348,4323.8856000000005,37.59900521739131
2026-07-15,117,117,0,12,1312.416,110,0.9401709401709402,0.6380797619047619,0.6036942554799698,5692.781760000002,48.65625435897437,5185.463039999999,44.320196923076914
2026-07-16,115,112,3,10,1102.967,95,0.8482142857142857,0.7196114285714287,0.5844590091997313,4754.293370000001,41.34168147826088,4325.30548,37.611352
2026-07-17,91,85,6,9,977.395,69,0.8117647058823529,0.5818174603174603,0.6099734498334859,4261.90845,46.83415879120879,3886.0538,42.703887912087914
2026-07-18,107,101,6,8,986.757,83,0.8217821782178217,0.6726696428571428,0.62683011116212,3919.30027,36.62897448598131,3506.17308,32.767972710280375
2026-07-19,100,95,5,10,1023.96,83,0.8736842105263158,0.7313221428571428,0.5912359857806946,4666.5956,46.665955999999994,4290.542399999999,42.905424
2026-07-20,104,103,1,8,910.709,97,0.941747572815534,0.7710982142857143,0.6136471694031792,3834.88699,36.87391336538462,3472.71196,33.39146115384615
2026-07-21,95,91,4,9,1072.505,76,0.8351648351648352,0.6530261904761905,0.6079104526319224,4367.48055,45.973479473684215,3927.9021999999995,41.346338947368416
2026-07-22,83,77,6,10,1090.615,72,0.935064935064935,0.6391035714285714,0.5819679721991721,4740.58265,57.115453614457834,4319.8706,52.04663373493976
2026-07-23,111,102,9,10,1162.622,84,0.8235294117647058,0.6326835714285715,0.6124174495235769,4820.5104200000005,43.428021801801805,4351.55368,39.20318630630631
2026-07-24,96,94,2,9,1047.246,74,0.7872340425531915,0.5632126984126984,0.6214518842755188,4339.44306,45.202531875,3916.7882400000003,40.7998775
2026-07-25,103,99,4,8,1008.571,89,0.898989898989899,0.7515330357142858,0.6591167106728233,3943.5138100000004,38.2865418446602,3515.77124,34.1337013592233
2026-07-26,89,84,5,10,1118.521,75,0.8928571428571429,0.6817792857142856,0.6003669130932722,4771.558310000001,53.61301471910114,4332.14924,48.67583415730337
2026-07-27,112,108,4,11,1183.859,90,0.8333333333333334,0.5651441558441559,0.5691353446652009,5197.08349,46.40253116071428,4744.89796,42.36516035714286
2026-07-28,99,99,0,9,934.406,95,0.9595959595959596,0.6639515873015872,0.5916924762897499,4214.19066,42.567582424242424,3867.13864,39.062006464646466
2026-07-29,98,95,3,11,1049.716,81,0.8526315789473684,0.5392441558441559,0.5814791810356325,5048.18476,51.512089387755104,4685.87504,47.81505142857143
2026-07-30,92,92,0,9,914.394,79,0.8586956521739131,0.6765484126984128,0.5844723390573429,4191.97734,45.564971086956525,3858.3333599999996,41.93840608695652
2026-07-31,126,109,17,11,1190.968,93,0.8532110091743119,0.5337636363636364,0.5870636322722357,5204.974480000001,41.30932126984128,4748.02592,37.682745396825396
2026-08-01,118,115,3,12,1256.35,101,0.8782608695652174,0.7238113095238096,0.5729581724837824,5630.5485,47.716512711864404,5160.794,43.735542372881355
2026-08-02,106,106,0,10,1073.629,85,0.8018867924528302,0.6065271428571428,0.5996047051635155,4721.72819,44.54460556603773,4312.39676,40.68298830188679
2026-08-03,112,108,4,10,1067.576,79,0.7314814814814815,0.5696242857142858,0.6043260620321177,4715.00936,42.09829785714286,4309.73344,38.47976285714286
2026-08-04,99,92,7,10,1012.519,85,0.9239130434782609,0.48954999999999993,0.5984272887718649,4653.89609,47.00905141414142,4285.50836,43.28796323232323
2026-08-05,112,110,2,11,1169.679,91,0.8272727272727273,0.6226201298701299,0.601099959903529,5181.343690000001,46.26199723214286,4738.658759999999,42.30945321428571
2026-08-06,111,111,0,9,1102.068,96,0.8648648648648649,0.8068444444444444,0.6297161336687028,4400.29548,39.64230162162162,3940.90992,35.50369297297297
2026-08-07,91,91,0,9,920.609,80,0.8791208791208791,0.7001484126984128,0.5568867999335223,4198.8759900000005,46.141494395604404,3861.0679600000003,42.429318241758246
2026-08-08,102,102,0,11,1091.526,98,0.9607843137254902,0.5551707792207792,0.5877111493450454,5094.593860000001,49.94699862745099,4704.27144,46.120308235294125
2026-08-09,93,93,0,10,1045.887,68,0.7311827956989247,0.6851128571428571,0.5844101705059915,4690.93457,50.440156666666674,4300.19028,46.23860516129032
2026-08-10,109,106,3,11,1068.05,99,0.9339622641509434,0.5312123376623377,0.5613108000561771,5068.5355,46.500325688073396,4693.941999999999,43.06368807339449
2026-08-11,96,96,0,11,1233.36,75,0.78125,0.7431233766233766,0.5870637932152818,5252.029600000001,54.70864166666667,4766.6784,49.652899999999995
2026-08-12,109,109,0,10,1114.096,102,0.9357798165137615,0.6968157142857143,0.5888208915569214,4766.646560000001,43.73070238532111,4330.2022400000005,39.72662605504588
2026-08-13,111,111,0,10,1126.723,96,0.8648648648648649,0.6760942857142858,0.614516611447534,4780.66253,43.0690318018018,4335.7581199999995,39.06088396396396
2026-08-14,98,92,6,8,800.165,76,0.8260869565217391,0.6376339285714285,0.5798504058537927,3712.1831500000008,37.87941989795919,3424.0725999999995,34.93951632653061
2026-08-15,110,109,1,10,1144.737,106,0.9724770642201835,0.6563392857142857,0.6103498008712918,4800.65807,43.64234609090909,4343.68428,39.48803890909091
2026-08-16,112,106,6,11,1152.262,96,0.9056603773584906,0.5628928571428571,0.6061867873799536,5162.01082,46.08938232142857,4730.995279999999,42.241029285714276
2026-08-17,89,89,0,10,1085.656,81,0.9101123595505618,0.5500764285714286,0.5939653076112508,4735.078160000001,53.20312539325844,4317.68864,48.51335550561798
2026-08-18,109,109,0,11,1187.887,94,0.8623853211009175,0.5795974025974027,0.6075847281770066,5201.554569999999,47.72068412844036,4746.67028,43.54743376146789
2026-08-19,100,100,0,11,1172.882,76,0.76,0.636687012987013,0.6037538303085903,5184.899020000001,51.84899020000001,4740.068079999999,47.40068079999999
2026-08-20,87,87,0,9,995.892,83,0.9540229885057471,0.7214333333333333,0.6281665080149254,4282.440119999999,49.22344965517241,3894.1924799999997,44.76083310344827
2026-08-21,131,131,0,10,1144.416,94,0.7175572519083969,0.6809814285714286,0.6023674957358163,4800.30176,36.643524885496184,4343.5430400000005,33.15681709923665
2026-08-22,100,97,3,9,1042.019,91,0.9381443298969072,0.630515873015873,0.6094687332956501,4333.64109,43.336410900000004,3914.4883599999994,39.14488359999999
2026-08-23,96,91,5,11,1182.411,75,0.8241758241758241,0.4536409090909091,0.6112992859504858,5195.476210000001,54.11954385416667,4744.26084,49.41938375
2026-08-24,114,111,3,10,1165.616,96,0.8648648648648649,0.8555978571428572,0.6177488984365349,4823.83376,42.31433122807018,4352.87104,38.183079298245616
2026-08-25,107,100,7,11,1231.654,87,0.87,0.6062155844155844,0.5884379866423525,5250.13594,49.06669102803738,4765.92776,44.541380934579436
2026-08-26,94,94,0,9,1074.109,77,0.8191489361702128,0.6844023809523809,0.6231341511894976,4369.260990000001,46.48149989361703,3928.6079600000003,41.79370170212766
2026-08-27,110,97,13,12,1262.415,82,0.845360824742268,0.6676714285714286,0.5712154877754146,5637.28065,51.24800590909091,5163.4626,46.94056909090909
2026-08-28,91,91,0,10,1183.503,79,0.8681318681318682,0.5123978571428571,0.6150284367677986,4843.68833,53.22734428571429,4360.74132,47.92023428571429
2026-08-29,103,103,0,10,1106.097,84,0.8155339805825242,0.5643785714285714,0.5830193916085117,4757.76767,46.19191912621359,4326.68268,42.006627961165044
