order_id,date,poi_id,poi_name,region,lng,lat,weight_kg,volume_m3,window_start,window_end,priority
DO202606010020,2026-06-01,P012,永辉超市(成都市蜀都万达广场店),R01,103.907862,30.807642,116.04,0.1477,565,685,高
DO202606010021,2026-06-01,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,86.83,0.4792,593,713,中
DO202606010022,2026-06-01,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,70.87,0.7323,596,716,高
DO202606010023,2026-06-01,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,4.49,0.2533,596,716,低
DO202606010024,2026-06-01,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,29.13,0.2038,598,718,中
DO202606010025,2026-06-01,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,306.41,2.129,788,908,中
DO202606010026,2026-06-01,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,370.13,0.2481,788,908,低
DO202606010027,2026-06-01,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,126.63,0.2176,789,909,高
DO202606010028,2026-06-01,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,6.24,0.1092,794,914,低
DO202606010029,2026-06-01,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,19.35,1.7302,752,872,中
DO202606010030,2026-06-01,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,36.89,3.6828,754,874,中
DO202606010031,2026-06-01,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,46.92,1.0268,755,875,中
DO202606010032,2026-06-01,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,53.08,0.0116,755,875,高
DO202606010033,2026-06-01,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,128.94,0.3338,760,880,低
DO202606010034,2026-06-01,P016,LAWSON罗森(枣子巷15号院店),R04,104.044885,30.667759,42.55,0.4635,527,647,低
DO202606010035,2026-06-01,P016,LAWSON罗森(枣子巷15号院店),R04,104.044885,30.667759,9.78,0.614,535,655,中
DO202606010036,2026-06-01,P017,LAWSON罗森(龙湖成都上城天街店),R04,104.071944,30.68395,5.64,0.3336,812,932,高
DO202606010037,2026-06-01,P017,LAWSON罗森(龙湖成都上城天街店),R04,104.071944,30.68395,297.18,0.1378,814,934,中
DO202606010038,2026-06-01,P017,LAWSON罗森(龙湖成都上城天街店),R04,104.071944,30.68395,12.8,0.6528,816,936,高
DO202606010039,2026-06-01,P018,乐多(成华西街一店),R04,104.071998,30.683402,437.39,0.2528,748,868,高
DO202606010040,2026-06-01,P018,乐多(成华西街一店),R04,104.071998,30.683402,3.29,0.8192,749,869,高
DO202606010041,2026-06-01,P021,Ole 精品超市(IFS国际金融中心店),R05,104.081893,30.655003,2.12,0.3234,726,846,中
DO202606010042,2026-06-01,P022,四川舞东风超市连锁股份有限公司,R05,104.082047,30.660437,51.2,0.2497,512,632,中
DO202606010043,2026-06-01,P022,四川舞东风超市连锁股份有限公司,R05,104.082047,30.660437,20.1,0.9346,513,633,高
DO202606010044,2026-06-01,P022,四川舞东风超市连锁股份有限公司,R05,104.082047,30.660437,11.05,0.3621,513,633,低
DO202606010045,2026-06-01,P022,四川舞东风超市连锁股份有限公司,R05,104.082047,30.660437,10.1,0.3104,516,636,低
DO202606010046,2026-06-01,P022,四川舞东风超市连锁股份有限公司,R05,104.082047,30.660437,4.52,0.6444,518,638,高
DO202606010047,2026-06-01,P022,四川舞东风超市连锁股份有限公司,R05,104.082047,30.660437,139.88,0.1502,519,639,低
DO202606010048,2026-06-01,P023,永辉超市(文华广场店),R05,104.107695,30.637048,130.26,0.2498,633,753,高
DO202606010049,2026-06-01,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,2.99,0.1846,564,684,中
DO202606010050,2026-06-01,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,39.93,0.1856,564,684,高
DO202606010051,2026-06-01,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,27.19,0.4716,564,684,低
DO202606010052,2026-06-01,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,67.27,0.3712,567,687,中
DO202606010053,2026-06-01,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,8.18,1.0254,568,688,中
DO202606010054,2026-06-01,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,178.52,0.2215,572,692,低
DO202606010055,2026-06-01,P028,永辉超市(天府欧城店),R07,104.256388,30.892152,65.71,0.3199,544,664,中
DO202606010056,2026-06-01,P028,永辉超市(天府欧城店),R07,104.256388,30.892152,101.66,2.7083,548,668,中
DO202606010057,2026-06-01,P029,永辉超市(青白江万达广场店),R07,104.253652,30.878095,34.15,2.1712,719,839,低
DO202606010058,2026-06-01,P029,永辉超市(青白江万达广场店),R07,104.253652,30.878095,17.99,1.0845,722,842,中
DO202606010059,2026-06-01,P030,润都连锁生活超市(正兴路店),R07,104.188354,30.87079,282.85,0.8033,794,914,高
DO202606010060,2026-06-01,P030,润都连锁生活超市(正兴路店),R07,104.188354,30.87079,2255.32,0.1101,801,921,中
DO202606010061,2026-06-01,P030,润都连锁生活超市(正兴路店),R07,104.188354,30.87079,170.14,0.4132,802,922,中
DO202606010062,2026-06-01,P030,润都连锁生活超市(正兴路店),R07,104.188354,30.87079,75.17,2.1243,803,923,中
DO202606010063,2026-06-01,P031,渝华连锁超市(学苑路店),R07,104.276426,30.875299,54.23,0.8211,618,738,中
DO202606010064,2026-06-01,P031,渝华连锁超市(学苑路店),R07,104.276426,30.875299,51.36,1.6431,618,738,中
DO202606010065,2026-06-01,P032,渝华连锁超市(绣川新城店),R07,104.330571,30.85576,309.98,0.1273,593,713,高
DO202606010066,2026-06-01,P033,红旗超市(团结花园店),R07,104.246885,30.877313,59.55,1.8785,621,741,高
DO202606010067,2026-06-01,P033,红旗超市(团结花园店),R07,104.246885,30.877313,24.75,0.1169,624,744,低
DO202606010068,2026-06-01,P033,红旗超市(团结花园店),R07,104.246885,30.877313,56.97,0.7789,626,746,低
DO202606010069,2026-06-01,P034,红旗连锁(北城新界民族花园店),R07,104.201632,30.877318,76.44,0.6008,689,809,高
DO202606010070,2026-06-01,P034,红旗连锁(北城新界民族花园店),R07,104.201632,30.877318,4.14,0.0532,690,810,中
DO202606010071,2026-06-01,P035,红旗连锁(青白江同金街便利店),R07,104.244552,30.889503,14.97,0.0681,787,907,高
DO202606010072,2026-06-01,P036,红旗连锁(青白江城厢首府分场),R07,104.323054,30.860039,9.33,0.0469,619,739,中
DO202606010073,2026-06-01,P036,红旗连锁(青白江城厢首府分场),R07,104.323054,30.860039,2.1,0.4562,620,740,中
DO202606010074,2026-06-01,P037,红旗连锁(青白江石家碾西路店),R07,104.253962,30.887052,12.2,0.162,544,664,高
DO202606010075,2026-06-01,P037,红旗连锁(青白江石家碾西路店),R07,104.253962,30.887052,174.27,0.1995,547,667,中
DO202606010076,2026-06-01,P037,红旗连锁(青白江石家碾西路店),R07,104.253962,30.887052,25.6,0.121,554,674,高
DO202606010077,2026-06-01,P038,青江一家超市,R07,104.284321,30.880989,66.74,0.2852,560,680,高
DO202606010078,2026-06-01,P039,青江百货连锁超市,R07,104.269502,30.876837,7.46,0.2061,611,731,中
DO202606010079,2026-06-01,P040,上蔬永辉超市(西单商场店),R02,104.000521,30.674866,134.33,0.166,822,942,中
DO202606010080,2026-06-01,P041,永辉超市(成都青羊中铁大道店),R02,103.961452,30.670211,198.72,0.1565,831,951,中
DO202606010081,2026-06-01,P041,永辉超市(成都青羊中铁大道店),R02,103.961452,30.670211,5.81,0.0922,832,952,中
DO202606010082,2026-06-01,P041,永辉超市(成都青羊中铁大道店),R02,103.961452,30.670211,267.36,0.3876,837,957,低
DO202606010083,2026-06-01,P042,永辉超市(青羊新城市店),R02,104.057614,30.67321,52.78,1.4008,776,896,中
DO202606010084,2026-06-01,P042,永辉超市(青羊新城市店),R02,104.057614,30.67321,184.95,0.492,776,896,低
DO202606010085,2026-06-01,P042,永辉超市(青羊新城市店),R02,104.057614,30.67321,52.37,0.0306,779,899,高
DO202606010086,2026-06-01,P042,永辉超市(青羊新城市店),R02,104.057614,30.67321,12.82,2.317,782,902,中
DO202606010087,2026-06-01,P043,红旗超市(中同仁路分场),R02,104.052373,30.668819,8.95,2.6454,623,743,低
DO202606010088,2026-06-01,P043,红旗超市(中同仁路分场),R02,104.052373,30.668819,4.66,0.1044,626,746,中
DO202606010089,2026-06-01,P044,邻你生活超市(大庆店),R02,104.032527,30.669557,20.36,0.3567,822,942,低
DO202606010090,2026-06-01,P045,世纪红连锁超市,R08,104.208007,30.532247,166.25,1.093,801,921,中
DO202606010091,2026-06-01,P045,世纪红连锁超市,R08,104.208007,30.532247,94.53,0.0319,810,930,高
DO202606010092,2026-06-01,P046,尚喜超市(锦绣路店),R08,104.308338,30.606726,290.34,0.135,687,807,高
DO202606010093,2026-06-01,P046,尚喜超市(锦绣路店),R08,104.308338,30.606726,8.23,0.112,689,809,高
DO202606010094,2026-06-01,P046,尚喜超市(锦绣路店),R08,104.308338,30.606726,3.35,0.1493,690,810,高
DO202606010095,2026-06-01,P046,尚喜超市(锦绣路店),R08,104.308338,30.606726,8.58,0.1357,690,810,高
DO202606010096,2026-06-01,P046,尚喜超市(锦绣路店),R08,104.308338,30.606726,60.32,0.1147,695,815,高
DO202606010097,2026-06-01,P047,永辉超市(成都龙泉驿万达广场店),R08,104.269392,30.566865,44.01,0.2609,748,868,中
DO202606010098,2026-06-01,P047,永辉超市(成都龙泉驿万达广场店),R08,104.269392,30.566865,4.25,0.1386,748,868,中
DO202606010099,2026-06-01,P047,永辉超市(成都龙泉驿万达广场店),R08,104.269392,30.566865,18.28,0.2509,751,871,低
DO202606010100,2026-06-01,P048,汇联美连锁超市(中街店),R08,104.27333,30.560098,18.78,0.0868,617,737,中
DO202606010101,2026-06-01,P048,汇联美连锁超市(中街店),R08,104.27333,30.560098,253.8,0.4643,620,740,中
DO202606010102,2026-06-01,P048,汇联美连锁超市(中街店),R08,104.27333,30.560098,154.71,0.0311,624,744,中
DO202606010103,2026-06-01,P048,汇联美连锁超市(中街店),R08,104.27333,30.560098,324.46,0.2231,624,744,低
DO202606010104,2026-06-01,P049,百伦生活超市(龙泉店),R08,104.273346,30.559846,10.06,0.2657,869,989,中
DO202606020000,2026-06-02,P001,689便民(荣盛·香榭兰庭店),R06,104.135375,30.623625,22.41,0.5754,812,932,高
DO202606020001,2026-06-02,P002,十二超市(佳年华广场1期店),R06,104.131787,30.627615,19.98,0.111,583,703,高
DO202606020002,2026-06-02,P002,十二超市(佳年华广场1期店),R06,104.131787,30.627615,16.92,0.0417,591,711,中
DO202606020003,2026-06-02,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,51.25,0.4385,896,1016,中
DO202606020004,2026-06-02,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,52.42,0.0641,901,1021,中
DO202606020005,2026-06-02,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,6.81,0.0319,901,1021,高
DO202606020006,2026-06-02,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,9.03,0.0839,904,1024,高
DO202606020007,2026-06-02,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,57.21,0.0293,905,1025,中
DO202606020008,2026-06-02,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,314.53,1.7465,906,1026,低
DO202606020009,2026-06-02,P006,全家便利店(龙江路店),R03,104.077199,30.641639,128.82,0.0225,555,675,高
DO202606020010,2026-06-02,P007,永辉超市(成都市新城吾悦广场店),R03,103.988663,30.626255,467.23,0.3238,748,868,高
DO202606020011,2026-06-02,P007,永辉超市(成都市新城吾悦广场店),R03,103.988663,30.626255,13.32,1.8542,757,877,中
DO202606020012,2026-06-02,P008,永辉超市(银泰城店),R03,104.058121,30.541191,248.45,0.6216,576,696,高
DO202606020013,2026-06-02,P009,永辉超市(龙湖成都金楠天街店),R03,103.995986,30.648731,86.13,0.0614,722,842,高
DO202606020014,2026-06-02,P009,永辉超市(龙湖成都金楠天街店),R03,103.995986,30.648731,936.31,2.2144,722,842,中
DO202606020015,2026-06-02,P010,百分百超市(心语店),R03,104.045915,30.545712,12.73,1.1459,877,997,高
DO202606020016,2026-06-02,P010,百分百超市(心语店),R03,104.045915,30.545712,62.93,0.285,878,998,低
DO202606020017,2026-06-02,P010,百分百超市(心语店),R03,104.045915,30.545712,29.56,0.1679,878,998,中
DO202606020018,2026-06-02,P010,百分百超市(心语店),R03,104.045915,30.545712,12.8,0.0435,879,999,中
DO202606020019,2026-06-02,P012,永辉超市(成都市蜀都万达广场店),R01,103.907862,30.807642,7.59,0.0685,858,978,低
DO202606020020,2026-06-02,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,184.98,0.1744,792,912,高
DO202606020021,2026-06-02,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,30.39,0.1989,795,915,低
DO202606020022,2026-06-02,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,11.74,0.2726,720,840,低
DO202606020023,2026-06-02,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,20.75,0.3032,721,841,高
DO202606020024,2026-06-02,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,2594.54,0.7658,599,719,中
DO202606020025,2026-06-02,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,43.36,1.0183,603,723,高
DO202606020026,2026-06-02,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,16.39,0.1982,604,724,中
DO202606020027,2026-06-02,P017,LAWSON罗森(龙湖成都上城天街店),R04,104.071944,30.68395,30.94,0.2509,807,927,中
DO202606020028,2026-06-02,P017,LAWSON罗森(龙湖成都上城天街店),R04,104.071944,30.68395,202.1,0.3773,809,929,低
DO202606020029,2026-06-02,P017,LAWSON罗森(龙湖成都上城天街店),R04,104.071944,30.68395,35.83,0.5041,813,933,中
DO202606020030,2026-06-02,P018,乐多(成华西街一店),R04,104.071998,30.683402,29.3,0.8717,664,784,高
DO202606020031,2026-06-02,P018,乐多(成华西街一店),R04,104.071998,30.683402,37.79,0.6126,665,785,中
DO202606020032,2026-06-02,P018,乐多(成华西街一店),R04,104.071998,30.683402,258.82,0.1376,665,785,高
DO202606020033,2026-06-02,P018,乐多(成华西街一店),R04,104.071998,30.683402,20.61,0.4496,668,788,低
DO202606020034,2026-06-02,P018,乐多(成华西街一店),R04,104.071998,30.683402,32.29,0.2666,670,790,低
DO202606020035,2026-06-02,P019,奥特乐(成都龙湖上城天街店),R04,104.072004,30.684929,36.77,0.1477,802,922,中
DO202606020036,2026-06-02,P019,奥特乐(成都龙湖上城天街店),R04,104.072004,30.684929,30.73,0.405,805,925,高
DO202606020037,2026-06-02,P020,朴朴超市(西体路店),R04,104.061775,30.681195,103.67,0.1244,543,663,中
DO202606020038,2026-06-02,P020,朴朴超市(西体路店),R04,104.061775,30.681195,212.52,0.3776,543,663,中
DO202606020039,2026-06-02,P020,朴朴超市(西体路店),R04,104.061775,30.681195,0.87,0.0311,546,666,低
DO202606020040,2026-06-02,P022,四川舞东风超市连锁股份有限公司,R05,104.082047,30.660437,16.49,0.1597,688,808,低
DO202606020041,2026-06-02,P022,四川舞东风超市连锁股份有限公司,R05,104.082047,30.660437,76.78,0.086,689,809,低
DO202606020042,2026-06-02,P023,永辉超市(文华广场店),R05,104.107695,30.637048,65.58,0.7352,728,848,高
DO202606020043,2026-06-02,P023,永辉超市(文华广场店),R05,104.107695,30.637048,62.23,1.4874,731,851,低
DO202606020044,2026-06-02,P023,永辉超市(文华广场店),R05,104.107695,30.637048,9.62,0.7331,733,853,高
DO202606020045,2026-06-02,P024,永辉超市(锦江城市花园店),R05,104.142752,30.595134,2.08,0.7501,623,743,中
DO202606020046,2026-06-02,P026,友好多连锁超市(界牌店),R07,104.313922,30.880419,233.65,0.6206,547,667,中
DO202606020047,2026-06-02,P026,友好多连锁超市(界牌店),R07,104.313922,30.880419,33.42,2.5642,548,668,高
DO202606020048,2026-06-02,P026,友好多连锁超市(界牌店),R07,104.313922,30.880419,172.67,0.0563,549,669,低
DO202606020049,2026-06-02,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,40.07,0.3497,841,961,高
DO202606020050,2026-06-02,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,9.46,1.6781,846,966,中
DO202606020051,2026-06-02,P027,大荣发连锁超市(和顺雅苑店),R07,104.253582,30.90011,33.26,1.4062,849,969,高
DO202606020052,2026-06-02,P028,永辉超市(天府欧城店),R07,104.256388,30.892152,140.08,0.2284,569,689,中
DO202606020053,2026-06-02,P028,永辉超市(天府欧城店),R07,104.256388,30.892152,37.67,0.2029,570,690,高
DO202606020054,2026-06-02,P028,永辉超市(天府欧城店),R07,104.256388,30.892152,34.23,0.5698,572,692,低
DO202606020055,2026-06-02,P029,永辉超市(青白江万达广场店),R07,104.253652,30.878095,154.56,0.5453,597,717,低
DO202606020056,2026-06-02,P030,润都连锁生活超市(正兴路店),R07,104.188354,30.87079,98.22,0.1421,823,943,中
DO202606020057,2026-06-02,P031,渝华连锁超市(学苑路店),R07,104.276426,30.875299,46.67,0.2453,803,923,低
DO202606020058,2026-06-02,P032,渝华连锁超市(绣川新城店),R07,104.330571,30.85576,16.54,1.2424,852,972,中
DO202606020059,2026-06-02,P033,红旗超市(团结花园店),R07,104.246885,30.877313,15.1,0.1673,691,811,高
DO202606020060,2026-06-02,P033,红旗超市(团结花园店),R07,104.246885,30.877313,16.86,0.3842,694,814,中
DO202606020061,2026-06-02,P034,红旗连锁(北城新界民族花园店),R07,104.201632,30.877318,200.29,0.286,654,774,低
DO202606020062,2026-06-02,P034,红旗连锁(北城新界民族花园店),R07,104.201632,30.877318,25.28,1.1017,655,775,中
DO202606020063,2026-06-02,P034,红旗连锁(北城新界民族花园店),R07,104.201632,30.877318,14.24,0.4768,656,776,中
DO202606020064,2026-06-02,P035,红旗连锁(青白江同金街便利店),R07,104.244552,30.889503,26.55,0.4571,869,989,中
DO202606020065,2026-06-02,P037,红旗连锁(青白江石家碾西路店),R07,104.253962,30.887052,167.44,0.1384,528,648,高
DO202606020066,2026-06-02,P037,红旗连锁(青白江石家碾西路店),R07,104.253962,30.887052,29.99,1.4649,531,651,中
DO202606020067,2026-06-02,P037,红旗连锁(青白江石家碾西路店),R07,104.253962,30.887052,2.73,0.1718,532,652,高
DO202606020068,2026-06-02,P038,青江一家超市,R07,104.284321,30.880989,82.13,0.1719,854,974,中
DO202606020069,2026-06-02,P038,青江一家超市,R07,104.284321,30.880989,25.59,0.0522,856,976,中
DO202606020070,2026-06-02,P038,青江一家超市,R07,104.284321,30.880989,98.41,0.8103,860,980,高
DO202606020071,2026-06-02,P039,青江百货连锁超市,R07,104.269502,30.876837,16.76,0.0909,579,699,中
DO202606020072,2026-06-02,P039,青江百货连锁超市,R07,104.269502,30.876837,81.42,0.0316,580,700,中
DO202606020073,2026-06-02,P039,青江百货连锁超市,R07,104.269502,30.876837,5.84,0.1773,580,700,高
DO202606020074,2026-06-02,P039,青江百货连锁超市,R07,104.269502,30.876837,17.69,0.1555,587,707,中
DO202606020075,2026-06-02,P041,永辉超市(成都青羊中铁大道店),R02,103.961452,30.670211,75.29,0.3214,587,707,中
DO202606020076,2026-06-02,P041,永辉超市(成都青羊中铁大道店),R02,103.961452,30.670211,312.4,0.2084,595,715,高
DO202606020077,2026-06-02,P041,永辉超市(成都青羊中铁大道店),R02,103.961452,30.670211,12.17,0.1999,595,715,高
DO202606020078,2026-06-02,P042,永辉超市(青羊新城市店),R02,104.057614,30.67321,43.52,2.4697,543,663,中
DO202606020079,2026-06-02,P043,红旗超市(中同仁路分场),R02,104.052373,30.668819,14.72,0.0768,806,926,高
DO202606020080,2026-06-02,P043,红旗超市(中同仁路分场),R02,104.052373,30.668819,305.99,0.2794,810,930,中
DO202606020081,2026-06-02,P044,邻你生活超市(大庆店),R02,104.032527,30.669557,37.38,0.3637,617,737,高
DO202606020082,2026-06-02,P044,邻你生活超市(大庆店),R02,104.032527,30.669557,35.72,0.1513,618,738,低
DO202606020083,2026-06-02,P044,邻你生活超市(大庆店),R02,104.032527,30.669557,116.77,0.2136,619,739,高
DO202606020084,2026-06-02,P044,邻你生活超市(大庆店),R02,104.032527,30.669557,667.82,0.3861,622,742,中
DO202606020085,2026-06-02,P044,邻你生活超市(大庆店),R02,104.032527,30.669557,5.7,0.9695,623,743,中
DO202606020086,2026-06-02,P044,邻你生活超市(大庆店),R02,104.032527,30.669557,142.46,0.4191,624,744,低
DO202606020087,2026-06-02,P046,尚喜超市(锦绣路店),R08,104.308338,30.606726,36.7,0.7436,787,907,中
DO202606020088,2026-06-02,P046,尚喜超市(锦绣路店),R08,104.308338,30.606726,200.15,0.3898,792,912,中
DO202606020089,2026-06-02,P048,汇联美连锁超市(中街店),R08,104.27333,30.560098,97.2,0.1886,648,768,低
DO202606020090,2026-06-02,P048,汇联美连锁超市(中街店),R08,104.27333,30.560098,56.46,0.3225,649,769,中
DO202606030000,2026-06-03,P002,十二超市(佳年华广场1期店),R06,104.131787,30.627615,83.09,0.4735,782,902,低
DO202606030001,2026-06-03,P002,十二超市(佳年华广场1期店),R06,104.131787,30.627615,117.66,0.2555,782,902,中
DO202606030002,2026-06-03,P004,老蔡小卖部(水碾河路北社区三街店),R06,104.099234,30.648748,21.84,0.4632,815,935,高
DO202606030003,2026-06-03,P005,郝英超市,R06,104.129707,30.628761,36.69,0.1216,730,850,中
DO202606030004,2026-06-03,P005,郝英超市,R06,104.129707,30.628761,511.54,0.4526,740,860,中
DO202606030005,2026-06-03,P007,永辉超市(成都市新城吾悦广场店),R03,103.988663,30.626255,379.03,0.3955,708,828,中
DO202606030006,2026-06-03,P007,永辉超市(成都市新城吾悦广场店),R03,103.988663,30.626255,430.8,0.278,714,834,低
DO202606030007,2026-06-03,P007,永辉超市(成都市新城吾悦广场店),R03,103.988663,30.626255,48.19,0.1863,715,835,中
DO202606030008,2026-06-03,P008,永辉超市(银泰城店),R03,104.058121,30.541191,15.55,0.0459,619,739,高
DO202606030009,2026-06-03,P008,永辉超市(银泰城店),R03,104.058121,30.541191,355.09,0.0335,622,742,高
DO202606030010,2026-06-03,P008,永辉超市(银泰城店),R03,104.058121,30.541191,113.72,0.1637,623,743,中
DO202606030011,2026-06-03,P008,永辉超市(银泰城店),R03,104.058121,30.541191,35.88,0.0171,626,746,低
DO202606030012,2026-06-03,P008,永辉超市(银泰城店),R03,104.058121,30.541191,35.16,0.7562,626,746,高
DO202606030013,2026-06-03,P009,永辉超市(龙湖成都金楠天街店),R03,103.995986,30.648731,118.47,0.3723,863,983,中
DO202606030014,2026-06-03,P009,永辉超市(龙湖成都金楠天街店),R03,103.995986,30.648731,10.03,0.0235,864,984,中
DO202606030015,2026-06-03,P009,永辉超市(龙湖成都金楠天街店),R03,103.995986,30.648731,2224.59,0.5505,870,990,高
DO202606030016,2026-06-03,P009,永辉超市(龙湖成都金楠天街店),R03,103.995986,30.648731,14.3,0.2706,872,992,高
DO202606030017,2026-06-03,P010,百分百超市(心语店),R03,104.045915,30.545712,60.25,1.8834,757,877,中
DO202606030018,2026-06-03,P010,百分百超市(心语店),R03,104.045915,30.545712,209.88,1.4986,761,881,中
DO202606030019,2026-06-03,P011,永辉超市(成都市双铁广场店),R01,103.975737,30.758309,73.46,0.4633,827,947,中
DO202606030020,2026-06-03,P012,永辉超市(成都市蜀都万达广场店),R01,103.907862,30.807642,35.65,0.2483,719,839,中
DO202606030021,2026-06-03,P012,永辉超市(成都市蜀都万达广场店),R01,103.907862,30.807642,69.86,0.4242,722,842,低
DO202606030022,2026-06-03,P012,永辉超市(成都市蜀都万达广场店),R01,103.907862,30.807642,126.1,0.3269,723,843,中
DO202606030023,2026-06-03,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,32.28,0.1944,889,1009,中
DO202606030024,2026-06-03,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,19.2,0.3649,892,1012,中
DO202606030025,2026-06-03,P013,永辉超市(爱琴海购物中心店),R01,103.991901,30.737566,296.61,0.2784,895,1015,低
DO202606030026,2026-06-03,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,34.88,2.9393,718,838,高
DO202606030027,2026-06-03,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,53.12,0.1848,720,840,低
DO202606030028,2026-06-03,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,140.86,0.145,721,841,高
DO202606030029,2026-06-03,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,2.91,0.4914,722,842,低
DO202606030030,2026-06-03,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,112.83,0.1057,725,845,高
DO202606030031,2026-06-03,P014,永辉超市(龙湖成都时代天街店),R01,103.921214,30.750831,26.53,0.1656,728,848,中
DO202606030032,2026-06-03,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,73.98,0.0436,520,640,高
DO202606030033,2026-06-03,P015,红旗超市(龙湖时代天街店),R01,103.919653,30.752444,57.05,0.1696,521,641,中
